Abstract,Search
" Here we report the clinical features of 25 discharged patients with COVID-19 recovery. Our analysis indicated that there was a significant inverse correlation existed between serum D-Dimer level and the duration of antiviral treatment, while lymphocyte concentration significantly positively correlated with the duration of virus reversal.",Clinical Characteristics on 25 Discharged Patients with COVID-19 Virus Returning
" Background: New endemic disease has been spread across Wuhan City, China on December 2019. Within few weeks, the World Health Organization (WHO) announced a novel coronavirus designated as coronavirus disease 2019 . In late January 2020, WHO declared the outbreak of a ""public-health emergency of international concern"" due to the rapid and increasing spread of the disease worldwide. Currently, there is no vaccine or approved treatment for this emerging infection; thus the objective of this study is to design a multi epitope peptide vaccine against COVID-19 using immunoinformatics approach. Method: Several techniques facilitating the combination of immunoinformatics approach and comparative genomic approach were used in order to determine the potential peptides for designing the T cell epitopes-based peptide vaccine using the envelope protein of 2019-nCoV as a target. Results: Extensive mutations, insertion and deletion were discovered with comparative sequencing in COVID-19 strain. Additionally, ten peptides binding to MHC class I and MHC class II were found to be promising candidates for vaccine design with adequate world population coverage of 88.5% and 99.99%, respectively. Conclusion: T cell epitopes-based peptide vaccine was designed for COVID-19 using envelope protein as an immunogenic target. Nevertheless, the proposed vaccine is rapidly needed to be validated clinically in order to ensure its safety, immunogenic profile and to help on stopping this epidemic before it leads to devastating global outbreaks.",Original Article
" Honey bees are eusocial insects, living in a colony that is often described as a superorganism. RNA mobility among cells of an organism has been documented in plants and animals. Here we show that RNA spreads further in honey bees, and is horizontally transferred between individuals and across generations. We found that honey bees share biologically active RNA through secretion and ingestion of worker and royal jellies. Such RNA initiates RNA interference, which is a known defense mechanism against viral infection. Furthermore, we characterized diverse RNA profiles of worker and royal jelly, including fragmented viral RNA. Our findings demonstrate a transmissible RNA pathway with potential roles in social immunity and epigenetic signaling among members of the hive. One of the characteristics of RNA interference (RNAi) is systemic spread of the silencing signal among cells and tissues throughout the organism. Systemic RNAi, initiated by double-stranded RNA (dsRNA) ingestion, has been reported in diverse invertebrates, including honey bees, demonstrating environmental RNA uptake that undermines homologous gene expression. However, the question why any organism would take up RNA from the environment has remained largely unanswered. Here, we report on horizontal RNA flow among honey bees mediated by secretion and ingestion of worker and royal jelly diets. We show that ingested dsRNA spreads through the bee's hemolymph associated with a protein complex. The systemic dsRNA is secreted with the jelly and delivered to larvae via ingestion. Furthermore, we demonstrate that transmission of jelly-secreted dsRNA to larvae is biologically active and triggers gene knockdown that lasts into adulthood. Finally, RNA extracted from worker and royal jellies harbor differential naturally occurring RNA populations. Some of these RNAs corresponded to honey bee protein coding genes, transposable elements, non-coding RNA as well as bacteria, fungi and viruses. These results reveal an inherent property of honey bees to share RNA among individuals and generations. Thus, our findings suggest a transmissible RNA pathway, playing a role in social immunity and epigenetic signaling between honey bees and potentially among other closely interacting organisms.",A transmissible RNA pathway in honey bees
" The beginning of 2020 has seen the emergence of COVID-19 outbreak caused by a novel coronavirus, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is an imminent need to better understand this new virus and to develop ways to control its spread. In this study, we sought to gain insights for vaccine design against SARS-CoV-2 by considering the high genetic similarity between SARS-CoV-2 and SARS-CoV, which caused the outbreak in 2003, and leveraging existing immunological studies of SARS-CoV. By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV, we identified a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins. As no mutation has been observed in these identified epitopes among the available SARS-CoV-2 sequences (as of 9 February 2020), immune targeting of these epitopes may potentially offer protection against this novel virus. For the T cell epitopes, we performed a population coverage analysis of the associated MHC alleles and proposed a set of epitopes that is estimated to provide broad coverage globally, as well as in China. Our findings provide a screened set of epitopes that can help guide experimental efforts towards the development of vaccines against SARS-CoV-2. : bioRxiv preprint B cell responses in recovered patients with severe acute respiratory syndrome: A six-year follow-up study.",Preliminary identification of potential vaccine targets for the COVID-19 coronavirus (SARS-CoV-2) based on SARS- CoV immunological studies
" Fasting paradigms elicit a wide-range of health benefits including suppressing inflammation. Exploring the molecular mechanisms that prevent inflammation during caloric restriction may yield promising new therapeutic targets. During fasting, activation of the nuclear receptor peroxisome proliferator-activated receptor alpha (PPARA) promotes the utilization of lipids as an energy source. Herein, we show that ligand activation of PPARA directly upregulates the long non-coding RNA gene Gm15441 through binding sites within its promoter. Gm15441 expression suppresses its antisense transcript, encoding thioredoxin interacting protein (TXNIP). This, in turn, decreases TXNIP-stimulated NLRP3 inflammasome activation, caspase-1 (CASP1) cleavage, and proinflammatory interleukin 1 beta (IL1B) maturation. Gm15441-null mice were developed and shown to be more susceptible to NLRP3 inflammasome activation and to exhibit elevated CASP1 and IL1B cleavage in response to metabolic and inflammatory stimuli. These findings provide evidence for a novel mechanism by which PPARA attenuates hepatic inflammasome activation in response to metabolic stress through lncRNA Gm15441 induction. Txnip expression in vivo. Gm15441 LSL mice were treated with a PPARA agonist or fasted to assess how loss of Gm15441 impacts hepatic inflammasome activation in response to both pharmacological and physiologically-induced metabolic stress. TXNIP protein, caspase-1 (CASP1) levels, and interleukin 1 beta (IL1B) cleavage were elevated in Gm15441 LSL mice and were further increased by PPARA activation, indicating that this lncRNA plays a major role in attenuating inflammasome activation. Thus, hepatic PPARA directly regulates the lncRNA Gm15441, which in turn suppresses Txnip expression, which attenuates NLRP3 inflammasome activation during periods of metabolic stress. These studies revealed a novel regulatory mechanism supporting the beneficial effects of fasting, namely, reduced inflammation. Results To assess the regulation of lncRNAs by PPARA, RNA-seq was performed using total liver RNA isolated from Ppara +/+ mice, both with and without dietary exposure to the PPARA agonist WY-14643. A lncRNA discovery pipeline was implemented that identified 15,558 liver-expressed lncRNA genes. Of these, 13,343 were intergenic, 1,966 were antisense, and 249 were intragenic lncRNAs. 44% of the 15,558 liver-expressed lncRNAs are considered novel (Melia and Waxman, 2019). Differential gene expression analysis revealed that a total of 1,735 RefSeq genes and 442 liver-expressed lncRNA genes responded to treatment with WY-14643 at an expression foldchange >2 at FDR<0.05, with 968 RefSeq genes and 245 lncRNA genes upregulated, and 767",Long non-coding RNA Gm15441 attenuates hepatic inflammasome activation in response to metabolic stress
" Coronaviruses (CoV) are positive-sense RNA viruses that infect numerous mammalian and avian 23 species and are capable of causing severe and lethal disease in humans. CoVs encode several 24 innate immune antagonists that interact with the host innate immune response to facilitate 25 efficient viral replication. CoV non-structural protein 14 (nsp14) encodes 3'-to-5' 26 exoribonuclease activity (ExoN), which performs a proofreading function and is required for 27 high-fidelity replication. Outside of the order Nidovirales, arenaviruses are the only RNA viruses 28 that encode an ExoN, which functions to degrade dsRNA replication intermediates. In this study, 29 we tested the hypothesis that CoV ExoN may also function to antagonize the innate immune 30 response. We demonstrate that viruses lacking ExoN activity [ExoN(-)] are sensitive to cellular 31 pretreatment with interferon beta (IFN-β) in a dose-dependent manner. In addition, ExoN(-) virus 32 replication was attenuated in wild-type bone marrow-derived macrophages (BMMs) and partially 33 restored in interferon alpha/beta receptor deficient (IFNAR-/-) BMMs. ExoN(-) virus replication 34 did not result in IFN-β gene expression, and in the presence of an IFN-β-mediated antiviral state, 35 ExoN(-) viral RNA levels were not substantially reduced relative to untreated. However, ExoN(-36 ) virus generated from IFN-β pretreated cells had reduced specific infectivity and decreased 37 relative fitness, suggesting that ExoN(-) virus generated during an antiviral state is less viable to 38 establish a subsequent infection. Overall, our data suggest MHV ExoN activity is required for 39 resistance to the innate immune response and antiviral mechanisms affecting the viral RNA 40 sequence and/or an RNA modification act on viruses lacking ExoN activity. 41 42 43 All rights reserved. No reuse allowed without permission.",Mouse hepatitis virus nsp14 exoribonuclease activity is required for
" Pathogens are embedded in a complex network of microparasites that can collectively or individually alter disease dynamics and outcomes. Chronic pathogens, for example, can either facilitate or compete with subsequent pathogens thereby exacerbating morbidity and mortality. Pathogen interactions are ubiquitous in nature, but poorly understood, particularly in wild populations. We report here on ten years of serological and molecular data in African lions, leveraging comprehensive demographic and behavioral data to utilize pathogen networks to test if chronic infections shape infection by acute pathogens. We combine network and community ecology approaches to assess broad network structure and characterize associations between pathogens across spatial and temporal scales. We found significant non-random structure in the lion-pathogen co-occurrence network and identified potential facilitative and competitive interactions between acute and chronic pathogens. Our results provide a novel insight for untangling the complex associations underlying pathogen co-occurrence networks.",Chronic infections can shape epidemic exposure: Pathogen co-occurrence networks in the Serengeti lions
" During the decoding of a subset of mRNAs a proportion of ribosomes 8 productively shift to the -1 reading frame at a specific, slippage-prone site 1 . While the 9 great majority of occurrences of the ""Programmed -1 Ribosomal Frameshifting"" (-1 10 PRF) involve viruses 2 , other mobile elements or retroelements 1 , a dramatic instance of 11 utilized human cellular -1 frameshifting in a non-retroelement derived mRNA has been 12 reported. The mRNA for which -1 frameshifting was claimed due to a stimulatory 13 pseudoknot is that which encodes immune functioning C-C chemokine receptor 5 14 (CCR5), the HIV-1 co-receptor 3 . The publication ascribed the importance of the reporter 15 CCR5 mRNA frameshifting directing translating ribosomes to a premature termination 16 codon leading to mRNA destabilization via the nonsense-mediated decay pathway 17 (NMD), rather than creating a C-terminally unique peptide. The same lab estimates that 18 up to 10% of eukaryotic genes may be regulated by this frameshift-NMD mechanism 4 19 and point to the potential for novel therapeutic strategies aimed at treating disease by -1 20 PRF 5 . Efficient -1 frameshifting requires a slippery site together with an appropriately 23 positioned stimulatory RNA structure. The reported CCR5 slip site (U_UUA_AAA where 24 underscores set of the reading frame) has previously been shown to facilitate high 25 levels of -1 frameshifting in vitro when positioned 5' of a known stimulatory pseudoknot 6 . 26 However, frameshifting efficiencies in vivo could be substantially different and further, at 27 least as of 2016, there were no known virus frameshift sites with the reported CCR5 28 shift site 1 . 29 30 We challenge the reported results by showing that frameshifting at the relevant 31 CCR5 sequence cassette does not occur above background levels and that the claimed 32 pertinent sequence is not as distinctively conserved as previously presented. Lastly, we 33 demonstrate that previously published retroelement derived human frameshift signals 34 do indeed harbor frameshift activity. 35 36 Using BLAST, we first identified orthologues of human CCR5 in the NCBI RefSeq 37 database. Sequences were aligned and, on examining the frameshift region, we 38 observed substitutions in the slippery site sequence which would likely decrease or 39 eliminate frameshifting in related organisms. Indeed, none of the nucleotides in the 40 slippery site are conserved across vertebrates (Figure 1). The predicted frameshift site 41 in CCR5 was previously reported as most highly conserved in primates, except for 42 Lemur catta 3 . Primate CCR5 CDS sequences were aligned and nucleotide conservation 43 was measured at single nucleotide resolution (Figure 2A) and smoothed in a 10 44 . CC-BY-NC-ND 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/513333 doi: bioRxiv preprint ( Figure 2B ) nucleotide sliding window. This analysis showed that the entire CDS, not 45 just the predicted frameshift site, is highly conserved among primates. Thus, the 46 observation that the frameshift site is mostly conserved in primates does not indicate 47 that the (putative) ability to frameshift is subject to purifying selection. 48 49 Dual-luciferase vectors in which the test cassette is sandwiched between and 50 fused to both Firefly and Renilla luciferase encoding sequences, have been widely used 51 for assaying translational recoding events (Figure 3A). The frameshifting efficiency is 52 calculated by dividing Firefly luciferase activity by Renilla luciferase activity. This ratio is 53 then normalized to an in-frame control vector in which Renilla and Firefly luciferases are 54 both situated in the zero-frame to account for differences in activity between the two 55 enzymes (a ratio of a ratio) (Figure 3B). 56 57 In nearly all cases the fused test encoded polypeptide has only a small or no 58 effect on the upstream encoded luciferase activity. However, in one case luciferase 59 activity was anomalously low (unpublished) and we developed a variant vector system 60 (pSGDluc 7 ) containing a StopGo sequence directly 3' of the first and immediately 5' of 61 the second luciferase encoding sequence. Subsequently we made another variant by 62 removing a potential splice site, pSGDlucV3.0 (deposited with Addgene). Thus in earlier 63 constructs, where the insert-encoded peptides were appended to the C-terminus of 64 Renilla luciferase, the Renilla luciferase activity could dropparticularly for the short 65 zero-frame encoded peptide, causing an artificial inflation of translation recoding rates. 66 . CC-BY-NC-ND 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/513333 doi: bioRxiv preprint This problem has been overcome by inserting flanking StopGo sequences that result in 67 co-translational excision of the insert-encoded peptides, thus releasing independent 68 Renilla and Firefly proteins that are identical in sequence for both the test and in-frame 69 control constructs. The publication on CCR5 frameshifting utilized the very first iteration 70 of a dual luciferase vector that we developed in 1998 8 . 71 72 We recloned the same CCR5 frameshift sequence tested in the original article 73 into pSGDlucV3.0. For CCR5 we used negative controls comparable to those in the 74 original article, which include a slip site mutant (UUUAAAA  GCGCGCG for Y.A.K., 75 UUUAAAA  AUUCAAA for G.L.), a 5`-termination control (also known as a premature 76 termination codon control or PTC control) and a 3`-termination control (also known as 77 an out-of-frame stop codon control or OOF control). Lastly, we included measurements 78 from the empty vector alone (Figure 3C). All four of these controls are meant to 79 establish a baseline for background levels of luminescence 80 81 The dual luciferase assays were carried out in the same cell line used in the 82 original article, HeLa. Renilla luciferase, the reference luciferase, is stable for all the 83 constructs (Figure 4A). Similarly Firefly luciferase activities for the in-frame controls of 84 CCR5 and a HIV-1 control are consistent as well, indicating that when forced to express 85 Firefly luciferase, both constructs produce proteins with similar activity. The Firefly 86 luciferase activity for the WT HIV-1 frameshift construct is >40 fold higher than that of 87 WT CCR5 or any of its negative controls. Furthermore, the Firefly luciferase activity for 88 . CC-BY-NC-ND 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/513333 doi: bioRxiv preprint CCR5 and all its negative controls are all comparable to the activity of the empty vector 89 control, which is the baseline for background levels of Firefly luciferase activity ( Figure   90 4B). After normalizing the luciferase activities for the test vectors to their respective in-91 frame control vectors, we find that HIV-1 shows frameshift rates that are comparable to 92 previously reported findings in HeLa cells 9 . However, CCR5 WT frameshifting is 93 ~0.15%, indistinguishable from its negative controls, indicating that CCR5 does not 94 frameshift above background at our limit of sensitivity and is certainly far less than the 95 previously reported level of 9-11% 3 . In fact, CCR5 SSM demonstrates slightly higher 96 rates of FS than the WT, indicating that translational recoding values this low are 97 indicative of background ( Figure 4C) . These experiments were repeated in HEK293T 98 cells to control for cell-line specific results and we found that the results followed 99 identical trends to those obtained in HeLa cells (Figure 4D-F) . To ensure that these results were repeatable, the cloning and assaying of CCR5 102 frameshifting was completed independently by a different laboratory (G.L., J.F.A.), 103 which used modestly different cloning and assaying strategies. When utilizing both 104 HeLa and HEK293T cells, we found that CCR5 frameshifted at an insignificant rate as 105 well (Figure 5A-F). 106 107 Retrotransposons and retroviruses share a common origin. Ribosomal 108 frameshifting has been well documented in viruses and thus it stands to reason that 109 retrotransposons and/or derivatives of retrotransposons in the human genome could 110 . CC-BY-NC-ND 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/513333 doi: bioRxiv preprint frameshift. Three derivatives of retrotransposons in the human genome, PNMA3 (Ma3), 111 PNMA5 (Ma5), and PEG10, have been previously demonstrated to frameshift in-vivo 112 and in-vitro 1 . All three encode zero-frame proteins with homology to the viral protein gag 113 and their trans-frame protein have similarity to gag-pol. All three share a slippery site 114 common with some viruses in the Retroviridae family, GGGAAAC. These sequences 115 were assayed in both HeLa and HEK293T cells (Figure 6). Although the rates of -1 116 PRF were slightly different from previously reported, all three signals stimulated 117 frameshifting far above background. These results further confirm the fidelity of the 118 pSGDlucV3.0 vector for assaying -1 PRF, already seen for other translational recoding 119 events 7 . 120 121 In conclusion, using an improved reporter assay system, we find no evidence of -122 1 frameshifting above background levels on the CCR5 mRNA. Additionally, a lack of 123 statistically significant purifying selection acting on the slip site (a hallmark for 124 functionally relevant frameshift signals) supports the argument that CCR5 does not 125 contain a biologically important frameshift signal. There are several possible 126 explanations for the discrepancy between the reported CCR5 results and the results 127 presented here but the most obvious one is the standard decoding of a significant 128 percentage of mRNAs generated by cryptic splicing. Methods 133 Alignment of CCR5 slippery sites 134 The NCBI mRNA and RefSeq BLAST databases were searched with blastn using the 135 human CCR5 mRNA (accession NM_000579.3) as query on December 4th, 2018 using 136 default parameters, with the number of hits expanded from 100 to 500. The best 137 sequence per organism, as determined by 'Max Score', was taken up until 70% query 138 cover. These sequences were aligned with MUSCLE. This alignment was trimmed to 139 only include the putative frameshift region of CCR5 that was generated by code written 140 in Python 3. The alignment image was generated using the box-shade server 141 (https://embnet.vital-it.ch/software/BOX_form.html). 142 143 CCR5 Primate CDS analysis 144 Of the sequences obtained in the ortholog search, only those belonging to the 145 taxonomic descriptor of 'primate' (taxid 9443) were used. Lemur catta sequences were 146 ignored, since the original manuscript states that the CCR5 frameshift signal is not 147 conserved in Lemur catta. All CDS sequences were aligned with MUSCLE and then 148 either at single nucleotide resolution or a smoothed 10 nucleotide window plotted in 149 Python 3. doi: bioRxiv preprint pSGDlucV3.0 was generated by introducing silent mutations into the Renilla coding 153 sequence to disrupt two potential donor splice sites (TGGgtaagt). 154 For Figures 4 and 6 (Y.A.K.) the vector was digested with PspXI and Bgl-II. Overlapping 155 oligonucleotides for insert sequences were ordered from Sigma Aldrich 156 (Supplementary Table 1), resuspended at 100 M, diluted to 10 M, and then mixed 157 together at a 1:100 dilution. This 1:100 dilution of the forward and reverse 158 oligonucleotide was heated to 95 o C. 2 L of this mix was ligated into 40 ng of linearized 159 backbone vector using NEB T4 ligase. 160 For Figure 5 (G.L.) The vector was digested with PspXI and Bgl-II. Using forward and 161 reverse PCR primers (Supplementary Table 1), the CCR5 WT, SSM and IFC were all 162 amplified from genomic DNA with enzyme overhangs. These PCR products were 163 subsequently digested and ligated into pSGDlucV3.0. 164 165 Transfections and Dual Luciferase Assays 166 For Figures 4 and 6 (Y.A.K.) HeLa and HEK293T cells were reverse transfected with 167 100 ng of plasmid using 0.2 L Lipofectamine 2000 in a 96-well format. Transfection mix 168 was added to 30,000 cells and incubated for 1-2 minutes at room temperature, before 169 adding Fetal Calf Serum. The next day, media was removed from cells and 100 L of 170 fresh 1X passive lysis buffer (Promega) was added to each well. Samples were frozen For Figure 5 (G.L. ) HeLa and HEK293T cells were reverse transfected with 25 ng of 174 plasmid using 0.2 L Lipofectamine 2000 in a half-area 96-well format. Transfection mix 175 was added to 40,000 cells. The next day, transfected cells were lysed in 12.6 L of 1X 176 passive lysis buffer (Promega) and luciferase activity was measured by injection of 20 177 L of each reagent. 178 179 Background level readings (measured from water transfected cells) were subtracted",Contesting the evidence for -1 frameshifting in immune-functioning C-C chemokine receptor 5 (CCR5) -the HIV-1 co-receptor 2
" The recent outbreak of pneumonia in Wuhan, China caused by the 2019 Novel Coronavirus (2019-nCoV) emphasizes the importance of detecting novel viruses and predicting their risks of infecting people. In this report, we introduced the VHP (Virus Host Prediction) to predict the potential hosts of viruses using deep learning algorithm. Our prediction suggests that 2019-nCoV has close infectivity with other human coronaviruses, especially the severe acute respiratory syndrome coronavirus (SARS-CoV), Bat SARS-like Coronaviruses and the Middle East respiratory syndrome coronavirus (MERS-CoV). Based on our prediction, compared to the Coronaviruses infecting other vertebrates, bat coronaviruses are assigned with more similar infectivity patterns with 2019-nCoVs. Furthermore, by comparing the infectivity patterns of all viruses hosted on vertebrates, we found mink viruses show a closer infectivity pattern to 2019-nCov. These consequences of infectivity pattern analysis illustrate that bat and mink may be two candidate reservoirs of 2019-nCov.These results warn us to beware of 2019-nCoV and guide us to further explore the properties and reservoir of it. One Sentence Summary: It is of great value to identify whether a newly discovered virus has the risk of infecting human. Guo et al. proposed a virus host prediction method based on deep learning to detect what kind of host a virus can infect with DNA sequence as input.",Host and infectivity prediction of Wuhan 2019 novel coronavirus using deep learning algorithm
" Background: Imagery techniques have been used as essential parts of diagnostic workup for patients suspected for 2019-nCoV infection, Multiple studies have reported the features of chest computed tomography (CT) scans among a number of 2019-nCoV patients. Method: Study Identification was carried out in databases (PubMed, Embase and Cochrane Library) to identify published studies examining the diagnosis, the 2019 novel coronavirus (2019-nCoV). Heterogeneity among reported prevalence was assessed by computing p-values of Cochrane Q-test and I 2 -statics. The pooled prevalence of treatment failure was carried out with a fixed effects meta-analysis model, generating the pooled 95% confidence interval. A random-effect model was used to pool the results since this model could incorporate the heterogeneity of the studies and therefore proved a more generalized result. Results: According to the combined results of meta-analysis, the total 55% of corona patients were males. The mean age of the patients was 41.31 (34.14, 48.47). Two prevalent clinical symptoms between patients were fever, cough with prevalence of 85%, and 62%, respectively. Either Ground Glass Opacity GGO or consolidation was seen in 86% but 14% had NO GGO or consolidation. The other rare CT symptoms were pericardial effusion, and pleural effusion with 4, 5, 7% prevalence, respectively. The most prevalent event was Either GGO or consolidation in 85% of patients.",Clinical characterization and chest CT findings in laboratory-confirmed COVID-19: a systematic review and meta-analysis
" We present the study design for large-scale assessment of the burden of ARI attributable to influenza and other respiratory pathogens to map the clinical and molecular epidemiology of influenza in a major metropolitan area. This will provide the framework for further studies of strategies for rapid, accurate identification and deployment of interventions to interrupt spread of infectious disease in major metropolitan areas. The Seattle Flu Study is funded through the Brotman Baty Institute. The funder was not involved in the design of the study, does not have any ownership over the management and conduct of the study, the data, or the rights to publish. designed and implemented the protocol, they also wrote, reviewed and edited the written protocol. Elisabeth Brandstetter, Jennifer Logue, Kira L Newman, and Caitlin Wolf contributed to the design of the prospective clinical and cross-sectional community study arms and also wrote, reviewed, and edited the written protocol. Reena K. Gulati, Louise E. Kimball, Michael L. Jackson assisted in the design of the overall protocol. Amanda Adler and Kirsten Lacombe contributed to the design of the prospective childcare cohort and reviewed and edited the written protocol.","The Seattle Flu Study: a multi-arm community-based prospective study protocol for assessing influenza prevalence, transmission, and genomic epidemiology Seattle Flu Study Investigators: Co-Investigators"
" Scintillators exhibit visible luminescence, called scintillation, when irradiated with X-rays. Given that X-rays penetrate through biological tissues, X-ray-induced scintillation would enable remote optogenetic control of neural functions at any depths in the brain. Here we show that a yellow-emitting inorganic scintillator, Ce-doped Gd3(Al,Ga)5O12 (Ce:GAGG), can effectively activate red-shifted excitatory and inhibitory opsins. Using these scintillator-opsin combinations, we successfully activated and inhibited midbrain dopamine neurons of freely moving mice by X-ray irradiation, producing bi-directional modulation of place preference behavior. The Ce:GAGG crystal was biocompatible and could be implanted for a long period without progressive neuroinflammatory responses. Neither brain injury nor behavioral dysfunction was acutely induced by radiation during the behavioral tests. Thus, X-ray-induced scintillation allows wireless control of cellular functions in living animals, expanding X-ray applications to functional studies of biology and medicine.",Remote control of neural function by X-ray-induced scintillation
