Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
 The conjunctival epithelium and the conducting airways appear to be potential portals of infection of SARS-CoV-2. Both SARS-CoV and SARS-CoV-2 replicated comparably in the alveolar epithelium explaining the progression of infection to a primary viral pneumonia.,2020-03-25,31.0,912.0,29.419354838709676,30.0,"The First Report of the Prevalence of COVID-19 in Chronic Myelogenous Leukemia Patients in the Core Epidemic Area of China: A Multicentre, Cross-Sectional Survey",214.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552870
" The emergence of COVID-19 interfered influenza epidemic in 2019-2020 season in Wuhan. Enhancing the surveillance of influenza could potentially facilitate better judgment about the real situation of COVID-19 pandemic, which could be hidden in massive influenza cases.",2020-03-25,31.0,619.0,19.967741935483872,34.0,The Outbreak of Coronavirus Disease 2019 Interfered with Influenza in Wuhan,81.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555239
 Pregnant patients with COVID-19 had less level of severity together with enhanced inflammatory response and cell immunity when compared with non-pregnant patients.,2020-03-25,31.0,558.0,18.0,26.0,"Clinical Characteristics of Pregnant Women with Coronavirus Disease 2019 in Wuhan, China",110.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555240
 The prolonged VST was partially responsible for the wide spread of COVID-19. At least three consecutive negatives were suitable for the criteria of end of virus shedding. Patients with decreased B cells on admission had longer virus shedding from respiratory tract in Coronavirus Disease 2019.  ,2020-03-25,31.0,468.0,15.096774193548388,18.0,Decreased B Cells on Admission was Associated with Prolonged Virus Shedding from Respiratory Tract in Coronavirus Disease 2019: A Case Control Study,59.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555246
" Multiple homeostasis disturbances were common in patients with severe or critical illness before admission. Early support should be provided, especially for old men with chronic disease, which is vital to restrain disease progression and reduce mortality of COVID-19.",2020-03-24,32.0,400.0,12.5,26.0,"Characteristics of SARS-CoV-2 Infected Patients with Clinical Outcome During Epidemic Ongoing Outbreak in Wuhan, China",56.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552812
" During the epidemic of COVID-19, the anxiety and depression level of college students increased significantly, which was also related to multiple factors. Therefore, it is particularly important to carry out necessary psychological intervention on college students.",2020-03-24,32.0,828.0,25.875,32.0,Psychological State of College Students During COVID-19 Epidemic,265.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552814
 The strong political commitment and centrally coordinated response are playing the most important role in containing COVID-19 in mainland China.         ,2020-03-24,32.0,394.0,12.3125,30.0,Transmission Dynamics of Covid-19 in Mainland China: Impact of Public Health Control Measures,56.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552826
" The new-suspected COVID-19 case numbers were significantly correlated with the lagged series of SMSI. SIMI could be earlier detected 6–9 days than new-suspected cases of COVID-19. The optimal method was subset select, which had the lowest estimation error and a moderate number of predictors. The subset selection method was also significantly correlated with the new-confirmed COVID-19 cases after validation. SMSI findings on lag day 10 were significantly correlated with new-confirmed COVID-19 cases.",2020-03-24,32.0,465.0,14.53125,38.0,Prediction of the Number of New Cases of 2019 Novel Coronavirus (COVID-19) Using a Social Media Search Index,83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552829
" Quality of currently available RCT protocols on the treatments for COVID-19 could be further improved. For transparency and effective knowledge translation in real-world clinically settings, it is important for trial investigators to standardize baseline treatments for patients with COVID-19 and assess clinically important core outcome measures. Despite eager anticipation from the public on the results of effectiveness trials in COVID-19, robust design, execution and reporting of these trials should be regarded as high priority.",2020-03-24,32.0,426.0,13.3125,21.0,Quality Assessment of the Clinical Trial Protocols Regarding Treatments for Coronavirus Disease 2019,80.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552834
" The optimistic scenario (non-Hubei model, daily increment rate of -3.87%), the relative pessimistic scenario (Hubei model, daily increment rate of -2.20%), and the relatively pessimistic scenario (adjustment, daily increment rate of -1.50%) were inferred and modeling from data in China. Matching and fitting with these scenarios, the IFP of time in South Korea would be Mar 6-Mar 12, Italy Mar 10-Mar 24, and Iran is Mar 10-Mar 24. The numbers of cumulative confirmed patients will reach approximately 20k in South Korea, 209k in Italy, and 226k in Iran under fitting scenarios, respectively. There should be room for improvement if these metrics continue to improve. In that case, the IFP will arrive earlier than our estimation. However, with the adoption of different diagnosis criteria, the variation of new cases could impose various influences in the predictive model. If that happens, the IFP of increment will be higher than predicted above.",2020-03-24,32.0,374.0,11.6875,21.0,The Prediction for Development of COVID-19 in Global Major Epidemic Areas Through Empirical Trends in China by Utilizing State Transition Matrix Model,57.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552835
" The rate of respiratory failure and death was lower in patients with COVID-19 in Jiangsu than in Wuhan city and lower than previously seen in patients with SARS and MERS. Age, lymphocyte count, respiratory rate, and pulmonary opacity score at admission were identified as independent risk factors for developing respiratory failure.",2020-03-24,32.0,453.0,14.15625,44.0,"Respiratory Failure Among Patients with COVID-19 in Jiangsu Province, China: A Multicentre Retrospective Cohort Study",78.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552836
" Of the patients we observed, all the population was susceptible to COVID-19. Most cases were moderate type, and only 0.41% was asymptomatic. The COVID-19 infection was of family clustering onset outside of Wuhan, which indicates the suspected or mild patients may have the risk of spreading disease if they stay at home.",2020-03-24,32.0,394.0,12.3125,16.0,Epidemiological Features of Coronavirus Disease 2019 (COVID-19) in a Province Outside of Wuhan,60.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552842
" Covid-19 is a highly infectious disease, and mostly are middle-aged and elderly cases, there is no significant difference between males and females. Fever, cough, and fatigue are most the clinical manifestations. Blood tests suggest that white blood cells are most normal and lymphocytes are reduced, C-reactive protein is slightly elevated, and imaging findings are of guiding significance for diagnosis of the disease and therapeutic effect.  At the same time of antiviral treatment, pay attention to nutritional support and gastrointestinal function protection, combined with traditional Chinese medicine treatment is very important. Early diagnosis, isolation, and treatment are essential and critical to control the disease. Cabin hospital, as a fast and effective method for centralized isolation and treatment of patients with infectious diseases, can provide a valuable experience in dealing with public emergency incident.",2020-03-24,32.0,487.0,15.21875,16.0,Clinical Characteristics of 545 Cases Confirmed COVID-19 in Wuhan Stadium Cabin Hospital,96.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552844
" The pathological characteristics of COVID-19 pneumonia was hyaline membranes with or without inflammatory cells and interstitial thickening, and cases with more serious radiological findings always showed hyaline membranes with inflammatory cells, and interstitial thickening may exist in early stage.",2020-03-24,32.0,487.0,15.21875,11.0,"Characteristics of Critically Ill COVID-19 Pneumonia: Clinical, Radiological and Pathological",110.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552853
" In this study, we highlighted that long-term viral infection exists in non-critical patients, and could induce the adaptive immune responses with increased CD4+ T cells and decreased CD8+ T cells. The increased CD4+ T cells had the potential to differentiate into Th1, Th2, Treg, or Th17/Tfh cells. Furthermore, we found that antibodies were produced in these patients, B cell responses were also initiated around two weeks after infection.",2020-03-24,32.0,425.0,13.28125,23.0,Long-Term Infection of SARS-CoV-2 Evoked a Potential CD4+ T Cell Differentiation in Non-Critical Pneumonia Patients: A Prospective Study,73.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552857
" Restrictions on activities in Wuhan, if maintained until April, would likely contribute to the reduction and delay the epidemic size and peak, respectively. However, there are some limitations to the analysis, including large uncertainties around estimates of R0 and the duration of infectiousness.",2020-03-24,32.0,525.0,16.40625,22.0,"The Effect of Control Strategies that Reduce Social Mixing on Outcomes of the COVID-19 Epidemic in Wuhan, China",102.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552864
" The infectious capacity of virus carriers varies at different stages. Additionally, both the prevention and control measures and the public’s awareness of the epidemic have great impact on the transmission of COVID-19.",2020-03-24,32.0,655.0,20.46875,36.0,Predicting COVID-19 Using Hybrid AI Model,165.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555202
" The NLR-LDH grading system that we proposed was a useful prognostic tool for the early detection of severe patients with COVID-19. And in the severe patients, CRP and BNP seemed to be helpful for predicting the disease progression or death, and their cardiac function required more attention. In addition, certain inflammatory and organ function indices in severe patients might indicate poor prognosis if they are much higher than reference line and continue to rise more than two weeks after illness onset.",2020-03-24,32.0,460.0,14.375,44.0,Exploring the Law of Development and Prognostic Factors of Common and Severe COVID-19: A Retrospective Case-Control Study in 122 Patients with Complete Course of Disease,100.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555209
" As the outbreak evolves, a cohort approach can further monitor public perceptions and response to future containment and mitigation measures.  ",2020-03-24,32.0,419.0,13.09375,13.0,"Use of a Community-Based Cohort for Rapid and Repeated Assessments of Public Knowledge, Perceptions and Behaviours During the Evolving COVID-19 Outbreak in Singapore",71.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555211
" Our findings support the need to pay attention to the health of people who were not affected by the virus epidemiologically. We especially need to support people who stopped working during the outbreak. Our results also highlight that physically active people, as indicated by more hours of exercise, might be more susceptible to wellbeing issues due to the lockdown. Policymakers who are considering introducing restrictive measures to contain COVID-19 may benefit from understanding such health and wellbeing implications.",2020-03-24,32.0,693.0,21.65625,24.0,"Health, Distress and Life Satisfaction of People in China One Month into the COVID-19 Outbreak",197.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555216
" From January 23 to March 1, 2020, 80,026 confirmed cases were reported in the whole country, with 67,103 (83·7%) cases reported from Hubei province and 12,923 (16·3%) cases from the other provinces. After the lockdown of Wuhan city, the number of confirmed cases reported daily continued to increase and peaked on February 4. From February 5 to March 1, the number of cases gradually decreased by 85·0% in the whole country, 83·2% in Hubei province, and 92·8% in the other provinces. The number of deaths continues to increase because of the large number of severe cases in hospitals. The severe case rate was 18·3% in the whole country, 19·3% in Hubei province, and 12·7% in other provinces. The case fatality rate was 3·6% in the whole country, 4·2% in Hubei province, and 0·8% in the other provinces. Cumulative recovery rate was 55·6% in the whole country, 50·5% in Hubei province, and 80·2% in the other provinces. Case fatality was high in patients aged above 60 years (mortality &gt;80%), males (mortality 76·5%), and patients with comorbidities (mortality 64·7%). ",2020-03-24,32.0,557.0,17.40625,20.0,"Trend of the Coronavirus Disease-2019 Epidemic in China After the Lockdown of Wuhan City on January 23, 2020",113.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555218
" Imported cases were more severe than local cases, but could have similar prognosis. The short epidemic period in Hainan suggests that the epidemics could be quickly brought under control if proper timely measures were taken.",2020-03-24,32.0,459.0,14.34375,32.0,"Epidemiological and Clinical Features of Imported and Local Patients with Coronavirus Disease 2019 (COVID-19) in Hainan, China",74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555222
 The prevalence of AKI was high in severe and critical COVID-19 patients. Renal ultrasound is a potential predictor of AKI. ,2020-03-24,32.0,531.0,16.59375,20.0,"Prevalence of Acute Kidney Injury in Severe and Critical COVID-19 Patients in Wuhan, China",100.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3555223
" In haematological units, hospitalized HD patients and medical staff are both at high risk of COVID-19 under an outbreak in Wuhan, partially attributing to hospital-associated transmission. The HD patients are characterized by great respiratory, inflammatory and haematological damages and extremely poor prognosis.",2020-03-24,32.0,560.0,17.5,24.0,"Clinical Characteristics and Outcome of 31 Cases with Covid-19 Diagnosed in Haematology Units in Wuhan, China: A Retrospective Cohort Study",111.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3558004
" This study thus confirms the expression of ACE2 in the salivary glands, and demonstrates the possibility of 2019-nCoV infection of the salivary glands. The reason that the positive saliva detection rate was as high as 75% (3/4) in critically-ill patients in our study might be due to virus invasion caused by high viral loads or destroyed salivary glands at the late stage of the disease. The emergence of viral particles in the saliva might be an indication that the disease condition of the patient has deteriorated and progressed to the terminal stage. Hence, saliva may be a new source of diagnostic specimens for critically-ill patients, since it can be easily collected without any invasive procedures.",2020-03-19,37.0,412.0,11.135135135135135,50.0,Detection of 2019-nCoV in Saliva and Characterization of Oral Symptoms in COVID-19 Patients,1272.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557140
 Our study reveals that the effect of confirmed cases on the novel coronavirus attributable deaths is heterogeneous across Provinces / States in China. We find a linear relationship between COVID-19 attributable deaths and confirmed cases whereas a nonlinear relationship is confirmed for the nexus between recovery cases and confirmed cases. The empirical evidence reveals that an increase in confirmed cases by 1% increases coronavirus attributable deaths by ~0.10% to ~1.71% (95% CI).,2020-03-23,33.0,40.0,1.212121212121212,8.0,Investigating the Cases of Novel Coronavirus Disease (COVID-19) in China Using Dynamic Statistical Techniques,333.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559456
" The high or moderate risk level of the epidemiological histories and typical features of chest image are the most valuable information for the screening. SARS-CoV-2 nucleic acid test is recommended at least two times for the cases with the above characteristics. Timely detection of children with COVID-19, even those with invisible infection, is of positive significance for the epidemic control.",2020-03-20,36.0,620.0,17.22222222222222,29.0,"Clinical Management of Children with an Epidemiological History of COVID-19: A Report on a Single Center of a General Hospital in Shenzhen, China",121.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551366
"  As the largest stool samples and the longest monitoring time so far, our study demonstrated that in spite of the virus harbour in the respiratory tract earlier than intestinal tract as 106 patients (77%) showed the first throat swab virus positive and only 22 patients (16%) showed the first stool virus positive in the first 10 days after their disease onset respectively, however, SARS-CoV-2 would harbour in the both respiratory tract and intestinal tract for 10-14 days. In addition, many patients appeared stool RNA positive when their swab RNA had turn negative and we suggested that both throat swabs and stool specimens are needed to absolutely confirm the elimination of the SARS-CoV-2.  ",2020-03-23,33.0,570.0,17.272727272727273,14.0,"Clinical Features of Stool SARS-CoV-2 RNA Positive in 137 COVID-19 Patients in Taizhou, China",79.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551383
" Our results suggest that prognosis is unfavorable for severely ill patients with COVID-19. Age, NLR, and LDH are independent predictors of 28-day mortality.",2020-03-23,33.0,473.0,14.333333333333334,17.0,"Short Term Outcomes and Risk Factors for Mortality in Patients with COVID-19 in Wuhan, China: A Retrospective Study",84.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551390
" Elder patients with more comorbidities and abnormalities in lymphocytes, platelets, prealbumin and myoglobin indicated poor prognosis of NCIP. Leukocytes, high-sensitivity-CRP, IL-6 and ferritin may predict the progression of disease. No evidence supported the effects of corticosteroids and lopinavir-ritonavir in NCIP treatment.",2020-03-23,33.0,432.0,13.090909090909092,25.0,"Potential Predictors for Disease Progression and Medication Evaluation of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",68.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551399
" During late January to mid-February 2020, patients infected with SARS-CoV-2 were mostly non-severe with mild to moderated symptoms in Fujian province and the mortality rate (0·6%) was significantly lower than that in Wuhan. Older patients (&gt;65 years) were more likely to progress as severe cases of COVID-19 than the young (18-65 years).",2020-03-23,33.0,398.0,12.06060606060606,27.0,"Epidemical and Clinical Characteristics of 165 Patients Infected with SARS-CoV-2 in Fujian Province, China",62.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551402
" The disease course of confirmed patients, which can be evaluated by clinical manifestation and radiological examination results, may not reciprocate mono-directional reversion of positive RT-PCR test results into negative ones. Patients infected with COVID-19 may become asymptomatic in the process of treatment and recovery, combined with promising chest CT findings, however, unpredictable changes in RT-PCR test results between positives and negatives have been identified. Due to the unavailability of quantitative studies and the lack of specific medicine for COVID-19 infected pneumonia, longer periods of hospitalization and quarantine, integrated specimens for RT-PCR test are therefore suggested.",2020-03-23,33.0,509.0,15.424242424242424,32.0,"The Desynchrony between Clinical Course and RT-PCR Test Results in Patients with COVID-19 Infected Pneumonia During the Treatment in Wuhan, China",86.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551404
 More attention should be paid to the mental health of frontline medical personnel at the outbreak of SARS-CoV-2 in China. Taking steps to reduce the intensity of the work and burnout will be effective to stabilize the mental state of them.,2020-03-23,33.0,198.0,6.0,29.0,Multiple Risk Factors of Depression and Anxiety in Medical Staffs: A Cross-Sectional Study at the Outbreak of SARS-CoV-2 in China,22.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551414
" 14,592 respondents who were evaluated on psychological status in 31 provinces, autonomous regions, municipalities of China were included in the study, with a positive detection rate of SRQ-20, PHQ-9, GAD-7 being 33.2%, 53.5%, 44.6%, respectively. The male gender (OR=0.812,95%CI:0.748~0.881,P＜0.001), advanced degree of education (OR=0.723,95%CI:0.649~0.805,P＜0.001), student (OR=0.816,95%CI:0.695~0.958,P=0.009) were viewed as the protective factors of post-catastrophe stress. While young in  age(OR=1.843,95%CI:1.669~2.034,P＜0.001), divorced status (OR=1.486,95%CI:1.252~1.769,P＜0.001), being in poor physical condition (OR=18.889,95%CI:7.419~48.094,P＜0.001) were the predisposing factors of it. The risk factors for state anxiety and depression underlying the shadow of the COVID-19 epidemic were similar to those of acute stress, notwithstanding there was no significance in the positive detection rate of depression between the genders and no differences in anxiety of diverse educational levels. ",2020-03-23,33.0,1147.0,34.75757575757576,39.0,Psychological Impact and Predisposing Factors of the Coronavirus Disease 2019 (COVID-19) Pandemic on General Public in China,402.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551415
" Patients with underlying disease and the confirmation time &gt; 10 days were more likely to develop to critical type. The critical type patients had higher risk of infection, respiratory depression, circulatory collapse, and complications. The strategy of lung-protective mechanical ventilation and restrictive fluid management should be strictly followed.",2020-03-23,33.0,480.0,14.545454545454545,27.0,"Clinical Characteristics and Current Treatment of Critically Ill Patients with COVID-19 Outside Wuhan, China: A Multicenter, Retrospective, Observational Study",93.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551426
"  Compared with CT images of GGO in patients with early-stage lung cancer, GGO features in patients with COVID-19 pneumonia have their own characteristics and t he evolution of GGO images corresponds with the progression of disease in a short time. The evaluation of GGO features combined with clinical, epidemiological and laboratory findings would facilitate the early detection and identification of COVID-19 pneumonia.  For the asymptomatic patients with GGO manifestation on CT findings, it is particularly essential to recheck chest CT within one week. Fully understanding the imaging features and differential diagnosis of COVID-19 will facilitate early detection and isolation of patients with SARS-CoV-2.  ",2020-03-23,33.0,340.0,10.303030303030303,27.0,"Comparison of Chest CT Images Featured with Ground Grass Opacity between COVID-19 Pneumonia and Early-Stage Lung Cancer in Wuhan,China: A Single-Centered, Retrospective, Observational Study",38.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551427
" S-COVID-19-P could be identified early by a machine-learning model only used collected clinical information without CT images on admission in fever clinics with 100% recall score. The well performed and validated model has been deployed as an online triage tool, which is available at: https://intensivecare.shinyapps.io/COVID19/ .",2020-03-19,37.0,815.0,22.027027027027028,12.0,A Novel Triage Tool of Artificial Intelligence Assisted Diagnosis Aid System for Suspected COVID-19 Pneumonia in Fever Clinics,154.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551355
" Exposure to potentially crowded places, public transport and to individuals with a cold increases risk of acquiring circulating acute respiratory infections. This suggests social distancing measures can have an important impact on slowing transmission of emerging respiratory infections.",2020-03-19,37.0,714.0,19.2972972972973,31.0,Public Activities Preceding the Onset of Acute Respiratory Infection Syndromes in Adults in England - Implications for the Use of Social Distancing to Control Pandemic Respiratory Infections,127.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551361
 Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.,2020-03-19,37.0,823.0,22.243243243243242,36.0,Multicenter Development and Validation of a Novel Risk Nomogram for Early Prediction of Severe 2019-Novel Coronavirus Pneumonia,168.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551365
" Self-efficacy score was a positive correlation with loneliness score in the in both the unadjusted (β=0.30, 95%CI=0.12 to 0.48, p&lt;0.001)and adjusted(β=0.30, 95%CI=0.12 to 0.48, p&lt;0.001) analyses. Because of reverse scoring for self-efficacy, lower self-efficacy was associated with high levels of loneliness. Stratified analyses stratified by social demography characteristics showed that the no associations between self-efficacy score and loneliness score remained significant in over 35 years old or doctors.",2020-03-12,44.0,277.0,6.295454545454546,56.0,The Influence of Efficacy Beliefs on Interpersonal Loneliness Among Front-Line Healthcare Workers During the 2019 Novel Coronavirus Outbreak in China: A Cross-Sectional Study,937.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3552645
"  11 COVID-19 patients with a history of thoracotomy were all severe cases. The diagnosis was confirmed by chest CT and nucleic acid testing, and antiviral treatment mainly based on abidol, supplemented by Chinese traditional medicine Lianhuaqingwen. All patients were treated with antibiotics, and 1 patient also took prophylactic antifungal therapy. Finally, 3 patients died of respiratory failure, 7 patients recovered smoothly, and 1 patient was still under treatment.  ",2020-03-18,38.0,499.0,13.131578947368421,10.0,"Clinical Features of 11 COVID-19 Patients with History of Thoracotomy: A Descriptive Study in Wuhan, China",63.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551387
" 1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future.",2020-03-18,38.0,660.0,17.36842105263158,30.0,The Response of the Government's Emergency System to the Novel Coronavirus Disease 2019 (COVID-19) Outbreak in China: A Retrospective Comparative Study,128.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551347
" Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. ",2020-03-18,38.0,1593.0,41.921052631578945,20.0,Mental Health Status of Doctors and Nurses During COVID-19 Epidemic in China,569.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551329
" As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic.",2020-03-18,38.0,582.0,15.31578947368421,8.0,Epidemiological and Transmission Patterns of Pregnant Women with 2019 Coronavirus Disease in China,139.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551330
 The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.,2020-03-18,38.0,1781.0,46.86842105263158,25.0,Non-Severe vs Severe Symptomatic COVID-19: 104 Cases from the Outbreak on the Cruise Ship 'Diamond Princess' in Japan,278.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551331
" Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems.",2020-03-18,38.0,952.0,25.05263157894737,28.0,"Assessment of Public Attention, Risk Perception, Emotional and Behavioural Responses to the COVID-19 Outbreak: Social Media Surveillance in China",301.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551338
" Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients.",2020-03-18,38.0,937.0,24.657894736842106,16.0,Follow-Up Study of 131 COVID-19 Discharged Patients: Is the Current Chinese Discharge Criteria Reliable?,214.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551342
" Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases.",2020-03-18,38.0,2057.0,54.13157894736842,40.0,Viral Load Dynamics and Clinical Disease Severity in Patients with SARS-CoV-2 Infection,293.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551345
" We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative.",2020-03-18,38.0,717.0,18.86842105263158,15.0,Epidemiologic Features and Clinical Findings of COVID-19-Infected Patients in Suzhou,136.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551352
" This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection.",2020-03-18,38.0,1106.0,29.105263157894736,29.0,Hand and Respiratory Hygiene Practices and the Risk and Transmission of Human Coronavirus Infections in a UK Community Cohort,295.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551360
" In our hospital, establishment of NCP department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation.",2020-03-17,39.0,504.0,12.923076923076923,8.0,A High Efficient Hospital Emergency Responsive Mode Is the Key of Successful Treatment of 100 COVID-19 Patients in Zhuhai,88.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551317
 The public must take precautionary measures in order to control and prevent disease spread and avoid extra travelling.,2020-03-17,39.0,471.0,12.076923076923077,23.0,"An Updated Trend Analysis Representing the Outbreak of Novel Coronavirus (2019-nCoV) in 16 Cities of Hubei Province, China Using Logistic S-Curve Model",75.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551318
" According to the SEIRD model curve we established, the transmission dynamics of SARS-COV-2 far exceed those of SARS in 2003, and the estimated final number of cases in China lies between 70,000 and 100,000. The current public health interventions are effective and should be maintained or strengthened until COVID-19 is no longer considered a global threat.",2020-03-17,39.0,529.0,13.564102564102564,30.0,The Transmission Dynamics of SARS-COV-2 in China: Modeling Study and the Impact of Public Health Interventions,101.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551319
 Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.,2020-03-17,39.0,619.0,15.871794871794872,15.0,Confusion and Thinking on the Diagnosis and Treatment of Patients with Negative RT-PCR Results for SARS-CoV-2,86.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551322
" Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China.",2020-03-17,39.0,860.0,22.05128205128205,16.0,"Medication Patterns and Disease Progression Among 165 Patients with Coronavirus Disease 2019 (COVID-19) in Wuhan, China: A Single-Centered, Retrospective, Observational Study",230.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551323
