Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
174,57.0,0.0376,"patient, detection, time, evaluation, city, short, finding, long, concentration, igg", The prevalence of COVID-19 was likely to increase the incidence of depression in cancer patients. Evaluation and follow-up should be strengthened and interventions should be performed in time to improve the mental health and quality of life.
175,29.0,0.3262,"healthcare, lead, provide, household, closure, school, parameter, obligation, reduction, mutation"," The US healthcare sector has some of the highest child care obligations in the United States. 29% of healthcare provider households must provide care for children 3-12. Assuming non-working adults or a sibling 13 years old or older can provide child care, leaves 15% of healthcare provider households in need of childcare during a school closure, while 7% of healthcare households are single-parent households. We document the substantial variation within the healthcare system. For example, 35% of medical assistants and 31% of nursing, psychiatric, and home health aide households have child care obligations, while only 24% of emergency medical personnel have childcare obligations. Child care obligations can vary between states by over 10 percentage points. A 15% decline in the healthcare labor force, combined with reasonable parameters for COVID-19 such as a 15% case reduction from school closings and 2% baseline mortality rate implies that a 15% loss in the healthcare labor force must decrease the survival probability per percent healthcare worker lost by 17.6% for a school closure to increase cumulative mortality. This means that the per infection mortality rate cannot increase from 2% to 2.35% when the healthcare workforce declines by 15%; otherwise, school closures will lead to a greater number of deaths than they prevent. For school closures to unambiguously provide a net reduction in COVID-19 mortality with these parameters, the school closures must reduce cases by over 25%.         "
176,39.0,0.0711,"high, risk, multi, lymphopenia, state, middle, change, chinese, modulator, shock"," In this Chinese national study of medical personnel, the findings indicated that the prevalence of depression and anxiety in hospitals at three levels were high. Further research is needed to better understand and identify the high-risk groups of medical staff under high-stress circumstances and to address these issues properly."
177,22.0,0.1716,"sars_cov, infection, mild, potential, progression, explain, young, conjunctival, immunity, epithelium", The conjunctival epithelium and the conducting airways appear to be potential portals of infection of SARS-CoV-2. Both SARS-CoV and SARS-CoV-2 replicated comparably in the alveolar epithelium explaining the progression of infection to a primary viral pneumonia.
178,22.0,0.1846,"sars_cov, infection, mild, potential, progression, explain, young, conjunctival, immunity, epithelium", The conjunctival epithelium and the conducting airways appear to be potential portals of infection of SARS-CoV-2. Both SARS-CoV and SARS-CoV-2 replicated comparably in the alveolar epithelium explaining the progression of infection to a primary viral pneumonia.
179,40.0,0.0762,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose"," The emergence of COVID-19 interfered influenza epidemic in 2019-2020 season in Wuhan. Enhancing the surveillance of influenza could potentially facilitate better judgment about the real situation of COVID-19 pandemic, which could be hidden in massive influenza cases."
180,16.0,0.037,"increase, covid, severity, related, decrease, enhance, human, datum, guideline, fatality", Pregnant patients with COVID-19 had less level of severity together with enhanced inflammatory response and cell immunity when compared with non-pregnant patients.
181,40.0,0.037,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose", The prolonged VST was partially responsible for the wide spread of COVID-19. At least three consecutive negatives were suitable for the criteria of end of virus shedding. Patients with decreased B cells on admission had longer virus shedding from respiratory tract in Coronavirus Disease 2019.  
182,6.0,0.0448,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," Multiple homeostasis disturbances were common in patients with severe or critical illness before admission. Early support should be provided, especially for old men with chronic disease, which is vital to restrain disease progression and reduce mortality of COVID-19."
183,70.0,0.0654,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," During the epidemic of COVID-19, the anxiety and depression level of college students increased significantly, which was also related to multiple factors. Therefore, it is particularly important to carry out necessary psychological intervention on college students."
184,36.0,0.0556,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland", The strong political commitment and centrally coordinated response are playing the most important role in containing COVID-19 in mainland China.         
185,72.0,0.1619,"case, confirm, suspect, newly, correlate, moderate, estimation, clinically, lag, step"," The new-suspected COVID-19 case numbers were significantly correlated with the lagged series of SMSI. SIMI could be earlier detected 6–9 days than new-suspected cases of COVID-19. The optimal method was subset select, which had the lowest estimation error and a moderate number of predictors. The subset selection method was also significantly correlated with the new-confirmed COVID-19 cases after validation. SMSI findings on lag day 10 were significantly correlated with new-confirmed COVID-19 cases."
186,33.0,0.08,"study, treatment, trial, phase, clinical, chinese, medicine, effective, preliminary, integrate"," Quality of currently available RCT protocols on the treatments for COVID-19 could be further improved. For transparency and effective knowledge translation in real-world clinically settings, it is important for trial investigators to standardize baseline treatments for patients with COVID-19 and assess clinically important core outcome measures. Despite eager anticipation from the public on the results of effectiveness trials in COVID-19, robust design, execution and reporting of these trials should be regarded as high priority."
187,67.0,0.376,"rate, scenario, italy, daily, datum, model, korea, mar, south, increment"," The optimistic scenario (non-Hubei model, daily increment rate of -3.87%), the relative pessimistic scenario (Hubei model, daily increment rate of -2.20%), and the relatively pessimistic scenario (adjustment, daily increment rate of -1.50%) were inferred and modeling from data in China. Matching and fitting with these scenarios, the IFP of time in South Korea would be Mar 6-Mar 12, Italy Mar 10-Mar 24, and Iran is Mar 10-Mar 24. The numbers of cumulative confirmed patients will reach approximately 20k in South Korea, 209k in Italy, and 226k in Iran under fitting scenarios, respectively. There should be room for improvement if these metrics continue to improve. In that case, the IFP will arrive earlier than our estimation. However, with the adoption of different diagnosis criteria, the variation of new cases could impose various influences in the predictive model. If that happens, the IFP of increment will be higher than predicted above."
188,24.0,0.0736,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," The rate of respiratory failure and death was lower in patients with COVID-19 in Jiangsu than in Wuhan city and lower than previously seen in patients with SARS and MERS. Age, lymphocyte count, respiratory rate, and pulmonary opacity score at admission were identified as independent risk factors for developing respiratory failure."
189,6.0,0.0441,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," Of the patients we observed, all the population was susceptible to COVID-19. Most cases were moderate type, and only 0.41% was asymptomatic. The COVID-19 infection was of family clustering onset outside of Wuhan, which indicates the suspected or mild patients may have the risk of spreading disease if they stay at home."
190,21.0,0.0569,"diagnosis, important, highly, clinical, limit, routine, testing, guide, novel_coronavirus, criterion"," Covid-19 is a highly infectious disease, and mostly are middle-aged and elderly cases, there is no significant difference between males and females. Fever, cough, and fatigue are most the clinical manifestations. Blood tests suggest that white blood cells are most normal and lymphocytes are reduced, C-reactive protein is slightly elevated, and imaging findings are of guiding significance for diagnosis of the disease and therapeutic effect.  At the same time of antiviral treatment, pay attention to nutritional support and gastrointestinal function protection, combined with traditional Chinese medicine treatment is very important. Early diagnosis, isolation, and treatment are essential and critical to control the disease. Cabin hospital, as a fast and effective method for centralized isolation and treatment of patients with infectious diseases, can provide a valuable experience in dealing with public emergency incident."
191,30.0,0.0617,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," The pathological characteristics of COVID-19 pneumonia was hyaline membranes with or without inflammatory cells and interstitial thickening, and cases with more serious radiological findings always showed hyaline membranes with inflammatory cells, and interstitial thickening may exist in early stage."
192,26.0,0.1255,"cell, cd, immune, ace, expression, level, kirp, ucec, neutrophil, study"," In this study, we highlighted that long-term viral infection exists in non-critical patients, and could induce the adaptive immune responses with increased CD4+ T cells and decreased CD8+ T cells. The increased CD4+ T cells had the potential to differentiate into Th1, Th2, Treg, or Th17/Tfh cells. Furthermore, we found that antibodies were produced in these patients, B cell responses were also initiated around two weeks after infection."
193,53.0,0.0441,"identify, relate, peak, major, contribute, potential, introduction, issue, political, measure"," Restrictions on activities in Wuhan, if maintained until April, would likely contribute to the reduction and delay the epidemic size and peak, respectively. However, there are some limitations to the analysis, including large uncertainties around estimates of R0 and the duration of infectiousness."
194,64.0,0.0464,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," The infectious capacity of virus carriers varies at different stages. Additionally, both the prevention and control measures and the public’s awareness of the epidemic have great impact on the transmission of COVID-19."
195,23.0,0.0708,"early, progression, facilitate, identification, week, helpful, ldh, invasive_ventilation, rapid, age"," The NLR-LDH grading system that we proposed was a useful prognostic tool for the early detection of severe patients with COVID-19. And in the severe patients, CRP and BNP seemed to be helpful for predicting the disease progression or death, and their cardiac function required more attention. In addition, certain inflammatory and organ function indices in severe patients might indicate poor prognosis if they are much higher than reference line and continue to rise more than two weeks after illness onset."
196,11.0,0.0573,"disease, find, monitor, multiple, important, approach, potential, additionally, isolation, specific"," As the outbreak evolves, a cohort approach can further monitor public perceptions and response to future containment and mitigation measures.  "
197,74.0,0.1059,"age, develop, attention, people, pay, make, susceptible, highlight, strategy, worldwide"," Our findings support the need to pay attention to the health of people who were not affected by the virus epidemiologically. We especially need to support people who stopped working during the outbreak. Our results also highlight that physically active people, as indicated by more hours of exercise, might be more susceptible to wellbeing issues due to the lockdown. Policymakers who are considering introducing restrictive measures to contain COVID-19 may benefit from understanding such health and wellbeing implications."
198,68.0,0.3754,"case, number, province, rate, confirm, february, hubei_province, increase, decrease, january"," From January 23 to March 1, 2020, 80,026 confirmed cases were reported in the whole country, with 67,103 (83·7%) cases reported from Hubei province and 12,923 (16·3%) cases from the other provinces. After the lockdown of Wuhan city, the number of confirmed cases reported daily continued to increase and peaked on February 4. From February 5 to March 1, the number of cases gradually decreased by 85·0% in the whole country, 83·2% in Hubei province, and 92·8% in the other provinces. The number of deaths continues to increase because of the large number of severe cases in hospitals. The severe case rate was 18·3% in the whole country, 19·3% in Hubei province, and 12·7% in other provinces. The case fatality rate was 3·6% in the whole country, 4·2% in Hubei province, and 0·8% in the other provinces. Cumulative recovery rate was 55·6% in the whole country, 50·5% in Hubei province, and 80·2% in the other provinces. Case fatality was high in patients aged above 60 years (mortality &gt;80%), males (mortality 76·5%), and patients with comorbidities (mortality 64·7%). "
199,36.0,0.0564,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland"," Imported cases were more severe than local cases, but could have similar prognosis. The short epidemic period in Hainan suggests that the epidemics could be quickly brought under control if proper timely measures were taken."
200,48.0,0.0556,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition", The prevalence of AKI was high in severe and critical COVID-19 patients. Renal ultrasound is a potential predictor of AKI. 
201,30.0,0.1789,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," In haematological units, hospitalized HD patients and medical staff are both at high risk of COVID-19 under an outbreak in Wuhan, partially attributing to hospital-associated transmission. The HD patients are characterized by great respiratory, inflammatory and haematological damages and extremely poor prognosis."
202,37.0,0.3564,"high, stage, study, viral, saliva, indication, demonstrate, load, deteriorate, salivary_glands"," This study thus confirms the expression of ACE2 in the salivary glands, and demonstrates the possibility of 2019-nCoV infection of the salivary glands. The reason that the positive saliva detection rate was as high as 75% (3/4) in critically-ill patients in our study might be due to virus invasion caused by high viral loads or destroyed salivary glands at the late stage of the disease. The emergence of viral particles in the saliva might be an indication that the disease condition of the patient has deteriorated and progressed to the terminal stage. Hence, saliva may be a new source of diagnostic specimens for critically-ill patients, since it can be easily collected without any invasive procedures."
203,61.0,0.1436,"effect, coronavirus, therapeutic, recovery, time, oxygen, reveal, relationship, attributable, dry", Our study reveals that the effect of confirmed cases on the novel coronavirus attributable deaths is heterogeneous across Provinces / States in China. We find a linear relationship between COVID-19 attributable deaths and confirmed cases whereas a nonlinear relationship is confirmed for the nexus between recovery cases and confirmed cases. The empirical evidence reveals that an increase in confirmed cases by 1% increases coronavirus attributable deaths by ~0.10% to ~1.71% (95% CI).
204,46.0,0.0577,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb"," The high or moderate risk level of the epidemiological histories and typical features of chest image are the most valuable information for the screening. SARS-CoV-2 nucleic acid test is recommended at least two times for the cases with the above characteristics. Timely detection of children with COVID-19, even those with invisible infection, is of positive significance for the epidemic control."
205,3.0,0.2848,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract","  As the largest stool samples and the longest monitoring time so far, our study demonstrated that in spite of the virus harbour in the respiratory tract earlier than intestinal tract as 106 patients (77%) showed the first throat swab virus positive and only 22 patients (16%) showed the first stool virus positive in the first 10 days after their disease onset respectively, however, SARS-CoV-2 would harbour in the both respiratory tract and intestinal tract for 10-14 days. In addition, many patients appeared stool RNA positive when their swab RNA had turn negative and we suggested that both throat swabs and stool specimens are needed to absolutely confirm the elimination of the SARS-CoV-2.  "
206,48.0,0.0393,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," Our results suggest that prognosis is unfavorable for severely ill patients with COVID-19. Age, NLR, and LDH are independent predictors of 28-day mortality."
207,50.0,0.0837,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality"," Elder patients with more comorbidities and abnormalities in lymphocytes, platelets, prealbumin and myoglobin indicated poor prognosis of NCIP. Leukocytes, high-sensitivity-CRP, IL-6 and ferritin may predict the progression of disease. No evidence supported the effects of corticosteroids and lopinavir-ritonavir in NCIP treatment."
208,31.0,0.1096,"severe, patient, significantly, year, male, age, positively, mild, detect, gold"," During late January to mid-February 2020, patients infected with SARS-CoV-2 were mostly non-severe with mild to moderated symptoms in Fujian province and the mortality rate (0·6%) was significantly lower than that in Wuhan. Older patients (&gt;65 years) were more likely to progress as severe cases of COVID-19 than the young (18-65 years)."
209,46.0,0.0991,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb"," The disease course of confirmed patients, which can be evaluated by clinical manifestation and radiological examination results, may not reciprocate mono-directional reversion of positive RT-PCR test results into negative ones. Patients infected with COVID-19 may become asymptomatic in the process of treatment and recovery, combined with promising chest CT findings, however, unpredictable changes in RT-PCR test results between positives and negatives have been identified. Due to the unavailability of quantitative studies and the lack of specific medicine for COVID-19 infected pneumonia, longer periods of hospitalization and quarantine, integrated specimens for RT-PCR test are therefore suggested."
210,38.0,0.0813,"health, public, mental, work, state, prioritize, lockdown, significance, carry, learning", More attention should be paid to the mental health of frontline medical personnel at the outbreak of SARS-CoV-2 in China. Taking steps to reduce the intensity of the work and burnout will be effective to stabilize the mental state of them.
211,73.0,0.1101,"quarantine, survivor, stress, worry, improve, post, anxiety, depression, family, physical"," 14,592 respondents who were evaluated on psychological status in 31 provinces, autonomous regions, municipalities of China were included in the study, with a positive detection rate of SRQ-20, PHQ-9, GAD-7 being 33.2%, 53.5%, 44.6%, respectively. The male gender (OR=0.812,95%CI:0.748~0.881,P＜0.001), advanced degree of education (OR=0.723,95%CI:0.649~0.805,P＜0.001), student (OR=0.816,95%CI:0.695~0.958,P=0.009) were viewed as the protective factors of post-catastrophe stress. While young in  age(OR=1.843,95%CI:1.669~2.034,P＜0.001), divorced status (OR=1.486,95%CI:1.252~1.769,P＜0.001), being in poor physical condition (OR=18.889,95%CI:7.419~48.094,P＜0.001) were the predisposing factors of it. The risk factors for state anxiety and depression underlying the shadow of the COVID-19 epidemic were similar to those of acute stress, notwithstanding there was no significance in the positive detection rate of depression between the genders and no differences in anxiety of diverse educational levels. "
212,19.0,0.0658,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," Patients with underlying disease and the confirmation time &gt; 10 days were more likely to develop to critical type. The critical type patients had higher risk of infection, respiratory depression, circulatory collapse, and complications. The strategy of lung-protective mechanical ventilation and restrictive fluid management should be strictly followed."
213,14.0,0.1407,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass","  Compared with CT images of GGO in patients with early-stage lung cancer, GGO features in patients with COVID-19 pneumonia have their own characteristics and t he evolution of GGO images corresponds with the progression of disease in a short time. The evaluation of GGO features combined with clinical, epidemiological and laboratory findings would facilitate the early detection and identification of COVID-19 pneumonia.  For the asymptomatic patients with GGO manifestation on CT findings, it is particularly essential to recheck chest CT within one week. Fully understanding the imaging features and differential diagnosis of COVID-19 will facilitate early detection and isolation of patients with SARS-CoV-2.  "
214,0.0,0.0585,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base"," S-COVID-19-P could be identified early by a machine-learning model only used collected clinical information without CT images on admission in fever clinics with 100% recall score. The well performed and validated model has been deployed as an online triage tool, which is available at: https://intensivecare.shinyapps.io/COVID19/ ."
215,70.0,0.0833,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," Exposure to potentially crowded places, public transport and to individuals with a cold increases risk of acquiring circulating acute respiratory infections. This suggests social distancing measures can have an important impact on slowing transmission of emerging respiratory infections."
216,31.0,0.0409,"severe, patient, significantly, year, male, age, positively, mild, detect, gold", Our nomogram is a potentially useful prediction tool for risk assessment of COVID-19 patients and early identification of severe COVID-19 patients. Risk stratification will enable better management and optimal use of medical resources via patient prioritization and thus significantly reduce mortality rates.
217,8.0,0.2106,"low, score, significant, intubation, plan, efficacy, adjust, loneliness, treatment, interval"," Self-efficacy score was a positive correlation with loneliness score in the in both the unadjusted (β=0.30, 95%CI=0.12 to 0.48, p&lt;0.001)and adjusted(β=0.30, 95%CI=0.12 to 0.48, p&lt;0.001) analyses. Because of reverse scoring for self-efficacy, lower self-efficacy was associated with high levels of loneliness. Stratified analyses stratified by social demography characteristics showed that the no associations between self-efficacy score and loneliness score remained significant in over 35 years old or doctors."
218,24.0,0.0594,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional","  11 COVID-19 patients with a history of thoracotomy were all severe cases. The diagnosis was confirmed by chest CT and nucleic acid testing, and antiviral treatment mainly based on abidol, supplemented by Chinese traditional medicine Lianhuaqingwen. All patients were treated with antibiotics, and 1 patient also took prophylactic antifungal therapy. Finally, 3 patients died of respiratory failure, 7 patients recovered smoothly, and 1 patient was still under treatment.  "
219,20.0,0.219,"covid, hospital, report, pathogen, greatly, cluster, speed, shanghai, day, pediatric"," 1) The hospital reporting speed--the first case report to the local CDC, for H7N9(2013) in Shanghai and COVID-19 in Wuhan city was 6 and 19 days, respectively. 2). The pathogen inspection speed-- the period from case reporting to technically confirming and re-checking pathogens, for COVID-19 was much quicker than that in H7N9(2013) in Shanghai (12days vs. 31days). 3). The government responding speed --from re-checking pathogens to the local government’s emergency response, for H7N9 (2013) in Shanghai and COVID-19 in Wuhan was 4 and 15 days, respectively. 4) The total emergency disposal time of local government was 5 days longer in COVID-19 in Wuhan city than H7N9 avian influenza (2013) in Shanghai (46 days vs. 41 days).InterpretationFrom H7N9 to COVID-19, the speed of detecting unknown pathogens greatly improved in China, whereas the hospital reporting of epidemics and decision-making by government of Hubei province was significantly slow, which might be an important influential factor of the outbreak of COVID-19. Improving the emergency management could lessen the adverse social effects of the emerging infectious disease and public health crisis in the future."
220,38.0,0.0701,"health, public, mental, work, state, prioritize, lockdown, significance, carry, learning"," Those with features of high-risk mental health problems should be set as priority for psychiatric interventions, especially when mental health professionals are not sufficient in China. "
221,4.0,0.0348,"system, national, information, process, point, great, occur, efficiency, cepe, diarrhea"," As the first national study on epidemiological and transmission characteristics of pregnant women with COVID-19, it provides preliminary information about the scope and severity of coronavirus infection during pregnancy in the current epidemic."
222,14.0,0.0392,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass", The high proportion of non-severe cases corrects the assessment of the trend of the outbreak.  Consolidation on chest CT scan and lymphopenia were possible risk factors for deterioration of COVID-19 and contribute to the clinical management.
223,63.0,0.0595,"screen, timely, current, screening, base, assessment, dynamic, large, surveillance, confirmation"," Social media surveillance can enable timely assessments of public reaction to risk communication and epidemic control measures, and the immediate clarification of rumours. This should be fully incorporated into epidemic preparedness and response systems."
224,43.0,0.0847,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," Discharged COVID-19 patients were overally associated with satisfied recovery, confirmed by the alleviated symptoms, improved laboratory tests and radiological assessment. Based on the current criteria of discharge, no contacted infection was observed. Stringent quarantine with standard clinical reexamination in an extended period is highly recommended for the discharged COVID-19 patients."
225,24.0,0.0601,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," Our study suggests that respiratory samples are still the most effective for detecting SARS-CoV-2, while it is necessary to strengthen the management of stool samples in the prevention and control of the epidemic, especially in the later stage of the disease. As SARS-CoV-2 persists longer with higher load, and peaks later in the respiratory tissue of severe patients, the rational use of antiviral drugs is needed to shorten the duration of the virus and reduce the occurrence of severe cases."
226,3.0,0.0703,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract"," We provided the epidemiologic features and clinical characteristics of 87 COVID-19 infected patients outside Wuhan. On the basis of this study, we found that children and adolescents were mostly asymptomatic or less symptomatic after infection. Additionally, COVID-19 might still be detectable in the digestive tract of the infected patients despite his/her consecutive throat swab tests were negative."
227,24.0,0.0543,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," This is the first empirical evidence that respiratory hygiene practices including handwashing after coughing or sneezing can reduce household transmission and regular handwashing can reduce personal risk of acquiring seasonal coronavirus. These findings support clear public health messaging around respiratory hygiene, targeted at those with respiratory symptoms, to protect others, and of the value of regular hand washing, regardless of symptoms, for personal protection."
228,20.0,0.0399,"covid, hospital, report, pathogen, greatly, cluster, speed, shanghai, day, pediatric"," In our hospital, establishment of NCP department, which is administratively led by the president of hospital directly and specialized conduct by respiratory professor, is the key to success in management and treatment of COVID-19 patients. This hospital emergency responsive mode could provide reference for other hospitals and cities in epidemic situation."
229,59.0,0.0528,"spread, prevent, give, place, order, clue, sars_cov, set, decisive, estimate", The public must take precautionary measures in order to control and prevent disease spread and avoid extra travelling.
230,13.0,0.0497,"outbreak, emergency, improve, response, effective, infectious, capacity, manage, detect, highly"," According to the SEIRD model curve we established, the transmission dynamics of SARS-COV-2 far exceed those of SARS in 2003, and the estimated final number of cases in China lies between 70,000 and 100,000. The current public health interventions are effective and should be maintained or strengthened until COVID-19 is no longer considered a global threat."
231,46.0,0.0672,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb", Patients with negative RT-PCR results with symptoms and apparent SARS-CoV-2 infection on chest radiographs had higher levels of C-reactive protein and were more likely to have comorbidities than those with positive results. Low detection efficiency of viral nucleic acid might be related to the similarities in features of the two groups. Clinicians should be aware that the condition of negative patients with high levels of CRP might deteriorate and further investigations regarding the efficiency of SARS-CoV-2 detection are needed.
232,5.0,0.0584,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," Medication patterns for COVID-19 were diverse but generally complied with the existing guideline. A potential therapeutic time window of 72 hours might exist in non-severe patients, especially for antiviral drugs. Additionally, the safety issue should not be ignored. Funding  National Natural Science Foundation of China."
233,30.0,0.045,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," COVID-19 patients accompanied by diabetes, and with laboratory characteristics of lymphocytopenia and thrombocytopenia, elevated concentration of plasma cytokines IL-2R, IL6, IL-10 and TNFα, other factors (CRP, LDH and ferritin) were associated with disease severity. For these patients, however, IMV could not significantly improved the prognosis. It’s important for timely treatments to reverse the progression to respiratory failure."
234,31.0,0.0721,"severe, patient, significantly, year, male, age, positively, mild, detect, gold"," Among the infected Chinese healthcare workers whose symptoms onset appeared during the same ten-day period, the percentage of those in severe conditions decreased statistical significantly from 19.7% (Jan 11 – 20) to 14.4% (Jan 21 – 31) to 8.7% (Feb 1 – 11). Across the country, there was also a significant difference in the disease severity among patients symptoms onset during the same period, with Wuhan being the most severe (17%), followed by Hubei Province (10.4%), and the rest of China (7.0%). The case fatality rate for the 1,688 infected Chinese healthcare workers was significantly lower than that for the 29,798 infected patients aged 20-59 years -- 0.3% (5/1,688) vs. 0.65% (193/29,798), respectively. "
235,62.0,0.0823,"provide, protection, effectively, hospital, personal, importance, experience, add, quality, key"," As the outbreak was rapid and sudden, and great uncertainties in COVID-19 still remain, we faced substantial challenges and difficulties. As the cost of in-hospital transmission is unbearable, our experiences and lessons suggested that prompt actions should be taken immediately to decrease or eliminate potential in-hospital transmission. Experience shared herein may be useful for those facilities who are and who may engage in COVID-19."
236,10.0,0.0571,"covid, finally, understand, priority, stabilize, dramatic, inform, wide, dead, promoter"," Current study reminds us that governments should strengthen the publicity of COVID-19 nationally, reinforce the public's vigilance and sensitivity to COVID-19, inform public the importance of protecting themselves with enough precautionary measures, and finally control the spread of COVID-19 globally."
237,20.0,0.0694,"covid, hospital, report, pathogen, greatly, cluster, speed, shanghai, day, pediatric"," We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus."
238,35.0,0.0597,"population, evidence, city, clinician, emerge, comorbiditie, provide, level, determine, vulnerable"," To date, Coronavirus Disease 2019 (COVID-19), caused by SARS-CoV-2, has established significant community spread in cities and regions along a narrow east west distribution roughly along the 30-50o Nâ€™ corridor at consistently similar weather patterns consisting of average temperatures of 5-11oC, combined with low specific (3-6 g/kg) and absolute humidity (4-7 g/m3). There has been a lack of significant community establishment in expected locations that are based only on population proximity and extensive population interaction through travel. "
239,26.0,0.0356,"cell, cd, immune, ace, expression, level, kirp, ucec, neutrophil, study"," By dynamic observations of the serum biochemistry profile, chest CT imaging of 12 amongst 13 COVID patients outside Wuhan, SAA was identified as a potential biomarker linked with clinical severity. Moreover, immune cell sorting analysis unraveled the landscape of innate and adaptive immunity machinery underlying COVID-19."
240,4.0,0.0767,"system, national, information, process, point, great, occur, efficiency, cepe, diarrhea"," COVID-19 patients with diarrhea suffered discomfort longer, as compared with COVID-19 pneumonia patients without diarrhea. The elimination of SARS-CoV-2 from digestive system took much more time than that from respiratory system, in some COVID-19 patients with diarrhea."
241,1.0,0.113,"level, crp, elevate, dimer, correlation, range, significant, lactate_dehydrogenase, normal, ferritin"," A total of 69 severe type COVID-19 patients were included. On admission, the median age of severe cases was 56-year old, with 52.17% of female patient. The most common symptoms were fever (79.72%), coughing (63.77%), shortness of breath (57.97%) and fatigue (50.72%). Diarrhea is less common. The most common comorbidity is hypertension. Upon admission, the proportion of bilateral pulmonary involvement or interstitial pneumonia evidenced by CT imaging in severe cases was 60.87% and 27.54%, respectively. Compared with patients with nonsevere disease, those with severe disease showed lymphocytopenia. Elevated level of lactate dehydrogenase (LDH), C-reactive protein (CRP), ferritin and D-dimer was found in most cases. Two patients (2.9%) needed transfer to the intensive care unit. Baseline immunological parameters and most of the inflammatory parameters were basically within the normal range. However, baseline IL-6 was significantly increased in severe type which is closely related to the maximal body temperature during hospitalization and CT findings. Baseline IL-6 was also significantly related to the increase of baseline level of CRP, LDH, ferritin and D-dimer. The increase of baseline IL-6 level suggests that it may positively correlate with the severity of COVID-19. Among the 30 severe type patient whose level of IL-6 was assessed before and after treatment, significant decrease in IL-6 and improved CT assessment was found in 25 patients after treatment. Whereas the IL-6 level was further increased in 3 cases, which was closely related to the progression of pneumonia. It is suggested that IL-6 may be used as a biomarker for disease monitoring in severe COVID-19 patients.  "
242,40.0,0.3805,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose"," Totally, 1860 patients were screened and 136 patients were enrolled in the study. 72 (52.94%) of them were diagnosed as influenza (Flu) A virus infection. 32 (23.53%) of the patients were diagnosed as Flu B virus infection. 18 (13.24%) and 14 (10.29%) of the patients were diagnosed as COVID-19 and respiratory syncytial virus (RSV) infection respectively. COVID-19 group had a higher rate of contact with epidemic area within 14 days and clustering onset than other groups (P&lt;0.05). Fever was the most common symptom in the respiratory virus infection patients. The ratio of fever and the highest temperature were higher in Flu A virus infection patients than in COVID-19 patients (P&lt;0.05). COVID-19 patients had lower white blood cell (WBC) count and neutrophil count than Flu A virus and RSV infection group (P&lt;0.05), but higher lymphocyte count than Flu A and B virus infection groups (P&lt;0.05). C-reactive protein was higher in RSV infection group than in COVID-19 and Flu B infection group, but was not statistically different in Flu A and B infection and COVID-19 groups. COVID-19 group (83.33%) had a higher rate of pneumonia in chest CT scan than Flu A and B virus infection group (P&lt;0.05).  "
