Abstract,Date,Downloads,Refrences,,Impact,Search,Views,url
"Conjunctiva may be a transmission way of COVID-19.And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19.Emphasis on the false-negative results is vital.",2020-02-28,335.0,15.0,26,12.8846153846154,"Conjunctival Polymerase Chain Reaction-Tests of 2019 Novel Coronavirus in Patients in Shenyang, China",63.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543592&utm_source=EC&utm_medium=Connect
"The incubation period of COVID-19 is verified to be approximately 5-6 days. The first- and second-generation cases have been well controlled, and the daily number of third-generation cases is gradually decreasing. The epidemic reached a turning point in China except for Hubei on February 6. The control and prevention of cluster events may be the key to final victory.",2020-02-28,331.0,14.0,26,12.7307692307692,"Current Situation of the Corona Virus Disease Under Active Control and Prevention in China, Outside Hubei Province: A Real-World Epidemiological Analysis",85.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543594&utm_source=EC&utm_medium=Connect
"Fever (85.7%) and cough (80.9%) were the two main symptoms of NCP patients.More significantly higher incidence (85.7%) of shortness of breath in the severe cases. Multiple lesions in both lungs and with incidence of GGO(100%),vascular enlargement (76.5%) and cobblestone/reticular pattern(70.6%) were the major feature.The incidence of consolidation, mixed pattern and vascular enlargement features were up to 100% in the severe group, significantly higher than that of patients in mild group. In addition, the incidence of air-bronchogram, dilated bronchi with thickened wall and fibrosis in the severe group was significantly higher than that in the mild group.",2020-02-28,311.0,24.0,26,11.9615384615385,Key Points of Clinical and CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV) Imported Pneumonia Based on 21 Cases Analysis,69.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543610&utm_source=EC&utm_medium=Connect
" It is reasonable to speculate that the outbreak would be braked soon with the very strong prevention measures taken all over China. Current estimation provided evidence for planned work resumption under stringent prevention and control in regions outside Hubei Province in China to further support the fight against the epidemic. Nevertheless, strict prevention and control measures should still be maintained, especially in the regions with high intensity of epidemic such as Hunan, Guangzhou, Zhejiang Province as well as densely-populated cities such as Shanghai and Beijing, considering the possibility of the second outbreak brought by the work resumption and population migration, especially from Hubei Province and high-intensity cities outside Hubei Province. ",2020-02-28,310.0,31.0,26,11.9230769230769,Phase- and Epidemic Regions- Adjusted Estimation of the Number of Coronavirus Disease 2019 Cases in China,58.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543585&utm_source=EC&utm_medium=Connect
"Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases.",2020-02-27,966.0,2.0,27,35.7777777777778,"Protection of 318 Inflammatory Bowel Disease Patients from the Outbreak and Rapid Spread of COVID-19 Infection in Wuhan, China",229.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543590&utm_source=EC&utm_medium=Connect
"We employed four types of AI technology to screen all patients, achieve 18 indexes associated with significant COVID-19 diagnosis and the most important attribute is WBC, Eosinophil count, Eosinophil rate, 2019 novel coronavirus RNA (2019n-CoV) and Amyloid-A in laboratory, also matched with 2019 China virus diagnosis clinical guide.",2020-02-27,863.0,17.0,27,31.962962962963,Artificial Intelligence Application in COVID-19 Diagnosis and Prediction,296.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541119&utm_source=EC&utm_medium=Connect
"No SARS-CoV-2 could be detected by RT-PCR in conjunctival swabs samples of COVID-19 pneumonia patients. Through our observational study, no ocular complications or sign of ocular transmissible routes were reported.",2020-02-27,475.0,21.0,27,17.5925925925926,"Ocular Dectection of SARS-CoV-2 in 114 Cases of COVID-19 Pneumonia in Wuhan, China: An Observational Study",118.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543587&utm_source=EC&utm_medium=Connect
" Our results suggest that Arbidol could accelerate and enhance the process of viral clearance, improve focal absorption on radiologic images, and reduce the demand for HFNC oxygen therapy in hospitalization. These effects were particularly pronounced in patients with mild illness at admission. The results provide basis for clinical use of Arbidol and supports for further randomized controlled trials in patients with NCP.",2020-02-25,952.0,8.0,29,32.8275862068966,Clinical Efficacy of Arbidol in Patients with 2019 Novel Coronavirus-Infected Pneumonia: A Retrospective Cohort Study,193.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542148&utm_source=EC&utm_medium=Connect
"COVID-19 is a highly transmissible virus with a very high risk of epidemic outbreak once it emerges in metropolitan areas. The closure of Wuhan city was effective in reducing the severity of the epidemic, but even after closure of the city and the subsequent expansion of that closure to other parts of Hubei the virus remained extremely infectious. Emergency planners in other cities should consider this high infectiousness when considering responses to this virus.",2020-02-25,625.0,21.0,29,21.551724137931,Estimation of the Epidemic Properties of the 2019 Novel Coronavirus: A Mathematical Modeling Study,188.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542150&utm_source=EC&utm_medium=Connect
"Our study found more than one third of the medical staff suffered from insomnia symptoms during the COVID-19 outbreak. The related factors were including education level, isolation environment, social psychological worries about the COVID-19 outbreak, and occupation of doctor. Interventions of insomnia on medical staffs were needed considering different social psychological factors.",2020-02-25,587.0,36.0,29,20.2413793103448,Survey of Insomnia and Related Social Psychological Factors Among Medical Staffs Involved with the 2019 Novel Coronavirus Disease Outbreak,190.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542175&utm_source=EC&utm_medium=Connect
"The nationwide and global outbreak of COVID-19 is now a fact. However, the drastic governmental measures have helped slowing down the epidemic propagation, which would have been more dramatic at this time point. A counterbalance between authorities’ leadership and the strict respect of prevention measures by local public may be needed to definitively stop the disease propagation.",2020-02-25,542.0,15.0,29,18.6896551724138,"The Ongoing Epidemic of 2019 Novel Coronavirus (SARS-CoV-2): Infection and Fatality Trends in Wuhan, Hubei and Across China",139.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542152&utm_source=EC&utm_medium=Connect
"The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection.",2020-02-25,417.0,23.0,29,14.3793103448276,"Analysis of 2019-nCoV Infection and Clinical Manifestations of Outpatients: An Epidemiological Study from the Fever Clinic in Wuhan, China",106.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542153&utm_source=EC&utm_medium=Connect
"In conclusion, properly running of hospital system may effectively manage the patients of 2019-nCoV pneumonia.",2020-02-25,412.0,30.0,29,14.2068965517241,"2019-nCoV Pneumonia in a Normal Work Infectious Diseases Hospital Besides Hubei Province, China",64.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542163&utm_source=EC&utm_medium=Connect
"Our findings confirmed 2019-nCoV could easily spread through direct personal contact in a hospital setting and provided compelling evidence that health-care facilities worldwide need to be prepared for possible transmission of this novel coronavirus. Medical workers engaging in daily interaction with their fellow workers should be personally under effective protection against the infection. The health-care workers developing any possible associated symptoms should seek prompt medical attention and be duly isolated, thereby minimizing secondary transmission of 2019-nCoV in health-care associated outbreaks. Adequate protection against exposure to infected patients can effectively protect health-care workers from 2019-nCoV infection.",2020-02-25,341.0,16.0,29,11.7586206896552,Transmission of 2019-nCoV to Health-Care Workers in the Early Epidemic,69.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542155&utm_source=EC&utm_medium=Connect
"Acute renal impairment was uncommon in COVID-19. SARS-CoV-2 infection does not significantly cause obvious acute renal injury, or aggravate CRF in the COVID-19 patients.",2020-02-24,545.0,21.0,30,18.1666666666667,"SARS-CoV-2 Infection Does Not Significantly Cause Acute Renal Injury: An Analysis of 116 Hospitalized Patients with COVID-19 in a Single Hospital, Wuhan, China",128.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541116&utm_source=EC&utm_medium=Connect&utm_source=EC&utm_medium=Connect
Peripheral lymphocyte subset alteration demonstrated a significant association with the clinical characteristics and efficacy of NCP. CD8+ T cells tended to be an independent predictor for NCP severity and treatment efficacy.,2020-02-24,505.0,18.0,30,16.8333333333333,Characteristics of Peripheral Lymphocyte Subset Alteration in 2019-nCoV Pneumonia,97.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539681&utm_source=EC&utm_medium=Connect
"The rapid and intensive measures taken by the Chinese government brought Wuhan epidemic under preliminary control. Some factories have resumed work since February 11, 2020, which exist the potential to cause the epidemic to increase again nationwide. In particular, because of the Spring Festival, more than 100 million migrant workers have to rework and 200 million school students at all levels might open the spring semesters. Consequently, its impact on the coronavirus epidemic block should be stressed. The publicity and supervision department should strengthen these two special groups’ epidemic learning and education, monitor their itinerary through a big data platform, and control their health and travel status in real time. It is recommended that migrant workers should not resume their work earlier than Feb. 27, 2020 and the school semester should also postpone to Apr. 1, 2020 at the earliest since large population density of students and their concentrated living and learning place.",2020-02-21,1045.0,46.0,33,31.6666666666667,"Statistical Estimate of Epidemic Trend, Suggestions and Lessons for Public Safety from the 2019 Novel Coronavirus (COVID-19)",308.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539660&utm_source=EC&utm_medium=Connect
" Although the virus has demonstrated that it is highly contagious and causes infection in both lungs spontaneously, clinical evidence shows that Wuhan-viral pneumonia has a low fatality rate. CT Imaging plays a pivotal role in the screening, diagnosis, isolation plan, treatment, management or prognosis of patients with Wuhan-viral pneumonia.",2020-02-21,403.0,11.0,33,12.2121212121212,Clinical and Imaging Evidence of Wuhan-Viral Pneumonia: A Large-Scale Prospective Cohort Study,95.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537088&utm_source=EC&utm_medium=Connect
"8 studies were included in Meta-analysis, including a total of 5732 patients with 2019-nCoV infection.According to Meta-analysis, among the clinical characteristics of patients with 2019-nCoV infection, the incidence of fever is 90.9%, the incidence of cough is 70.8%, and the incidence of muscle soreness or fatigue is 41%. The incidence of acute respiratory distress syndrome (ARDS) was 14.8%, the incidence of abnormal chest CT was 95.6%, the proportion of severe cases in all infected cases was 24.3%, and the mortality rate of patients with 2019-nCoV infection was 6.4%.",2020-02-20,7401.0,30.0,34,217.676470588235,Clinical Characteristics of 5732 Patients with 2019-nCoV Infection,1363.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539664&utm_source=EC&utm_medium=Connect
"The outbreak of COVID-19 is predominant in Hubei. The fatality is lower outside Hubei, a reflection of effective quarantine measures and medical care. The underestimated cases due to false-negative nucleic acid tests implies an actual lower fatality than the current estimation. The implication of broadened clinical diagnosis criteria in Hubei results in a sharp upswing in COVID-19 cases yet this could essentially counteract the underestimation of diagnosis and ensure prompt medical intervention to highly suspected cases. The interim gap in the knowledge of the actual dynamics of COVID-19 and heterogeneity of geographic differences need fulfilment by investigation on demographic characteristics and risk factors among population in various regions.",2020-02-20,1934.0,19.0,34,56.8823529411765,Dynamics of the Latest 2019 Novel Coronavirus Disease Epidemic in China: A Descriptive Study,233.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539671&utm_source=EC&utm_medium=Connect
"Around one-fifth of patients with COVID-19 will progress to severe diseases.Four simple clinical parameters at presentation, namely comorbidity, age, lymphocyte counts and serum ferritin were able to identify a group of patients with low risk of progression. This will greatly facilitate optimal utilization of the very tight medical resources in places with huge patient loads.",2020-02-20,1684.0,15.0,34,49.5294117647059,Clinical Characteristics Predicting Progression of COVID-19,492.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539674&utm_source=EC&utm_medium=Connect
"COVID-19 infection causes severe respiratory disease, similar to severe acute respiratory syndrome coronavirus, and is associated with ICU entry and high mortality. We have studied the origin, epidemiology, treatment methods and other aspects, according to the treatment plan formulated by Wuhan Union Hospital, certified by the Ministry of Health of China, we hope to develop an effective treatment method to reduce the mortality of the disease.",2020-02-20,933.0,20.0,34,27.4411764705882,"Clinical Characteristics and Treatment of Patients Infected with COVID-19 in Shishou, China",215.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541147&utm_source=EC&utm_medium=Connect
"The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection.",2020-02-20,862.0,30.0,34,25.3529411764706,"Analysis of 2019 Novel Coronavirus Infection and Clinical Characteristics of Outpatients: An Epidemiological Study from the Fever Clinic in Wuhan, China",190.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539646%20&utm_source=EC&utm_medium=Connect
"The series of quarantine measures adopted by the Chinese government since January 23 were necessary and effective. Postponing the relaxation of isolation, early detection and isolation of patients, widely tracing of close contacts and strict monitoring of infected persons could effectively reduce the scale of infection and mortality.",2020-02-20,576.0,33.0,34,16.9411764705882,Epidemic Trend and Transmission Risk of SARS-CoV-2 after Government Intervention in the Mainland of China: A Mathematical Model Study,150.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539669&utm_source=EC&utm_medium=Connect
 Medical staffs who had previous contact with NCP patients exhibited increased psychological problems and perceived social support. The governments should provide psychological services for medical staffs in the front line under the serious epidemic threat.,2020-02-20,529.0,18.0,34,15.5588235294118,Perceived Social Support and Its Impact on Psychological Status and Quality of Life of Medical Staffs After Outbreak of SARS-CoV-2 Pneumonia: A Cross-Sectional Study,161.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541127&utm_source=EC&utm_medium=Connect
"High rate of Upro positive was detected in NCP patients, The degree of pulmonary lesion is positively related with level of Upro. Moreover, age, AST and lymphopenia were homodirectional impact factors with Upro. This study reminded us to pay more attention to the protective measures for lung, kidney and heart in the early stage of clinical treatment, and the mechanisms of how COVID-19 induced renal injury need to be future studied.",2020-02-20,511.0,11.0,34,15.0294117647059,"Clinical Characteristics of 60 COVID-19-Infected Patients with or Without Renal Injury In Hangzhou, China",143.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541126&utm_source=EC&utm_medium=Connect
"On the basis of this study, we provided the ratio of the COVID-19 infection on the severe cases to the mild, asymptomatic and non-pneumonia cases in Beijing. Population was generally susceptible, and with a relatively low fatality rate. The measures to prevent transmission was very successful at early stage, the next steps on the COVID-19 infection should be focused on early isolation of patients and quarantine for close contacts in families and communities in Beijing.",2020-02-20,502.0,17.0,34,14.7647058823529,Characteristics of COVID-19 Infection In Beijing,138.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541134&utm_source=EC&utm_medium=Connect
"Old age, medical comorbidities, dyspnea, confusion, and chest pain at admission are associated with a higher risk of death in patients with COVID-19.",2020-02-19,1198.0,8.0,35,34.2285714285714,The Risk of Death in 2019 Novel Coronavirus Disease (COVID-19) in Hubei Province,339.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539655&utm_source=EC&utm_medium=Connect
"A total of 71 chains of transmission together with dates of symptoms onset and 67 dates of infections were identified among 5,405 confirmed cases outside Hubei as reported by February 2, 2020. Based on this information, we find the serial interval having an average of 4.27 days with a standard deviation of 3.44 days, the incubation period having an average of 5.33 days with a standard deviation of 3.36 days and the infectious period having an average of 10.91 days with a standard deviation of 3.95 days. The estimated controlled reproduction numbers, 𝑅𝑐 , produced by all three methods in all analyzed regions of China are significantly smaller compared with the basic reproduction numbers 𝑅0.",2020-02-19,1101.0,17.0,35,31.4571428571429,Estimation of the Time-Varying Reproduction Number of COVID-19 Outbreak in China,321.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539694&utm_source=EC&utm_medium=Connect
"In our investigation, it was obviously that the COVID-19 can spread through person to person. The main manifestations of the patients were mainly upper respiratory symptoms, and some of the patients were accompanied by symptoms of the digestive system. There was no significant age limit for the infectivity of the population, but elderly people were still vulnerable groups. Patients with diabetes were more likely to develop into severe patients, and the probability of admission to the ICU was significantly increased.",2020-02-19,556.0,13.0,35,15.8857142857143,"Epidemiological and Clinical Features of 197 Patients Infected with 2019 Novel Coronavirus in Chongqing, China: A Single Center Descriptive Study",140.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539687&utm_source=EC&utm_medium=Connect
" We can infer that we are still not close to the end of this outbreak and the number of critically ill patients is still climbing. Assisting critical care resources in Hubei province requires the government to consider further tilt, and it is vital to make reasonable management of doctors and medical assistance systems to curb the transmission trend.",2020-02-19,447.0,17.0,35,12.7714285714286,Utilize State Transition Matrix Model to Predict the Novel Corona Virus Infection Peak and Patient Distribution,75.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539658&utm_source=EC&utm_medium=Connect
"Patients with the SARS-CoV-2 pneumonia usually presented with typical ground-grass opacities and other CT features, which showed significant correlations with some clinical and laboratory measurements. Follow-up CT images often demonstrated progressions during the early stage from illness onset.",2020-02-19,402.0,5.0,35,11.4857142857143,Clinical and High-Resolution CT Features of the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Pneumonia: Comparison of the Initial and Follow-Up Changes,75.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539695
"560 suspected cases with 2019 novel coronavirus infection on Fever outpatient department of Hunan Provincial peoples' hospital, there were 24 confirmed cases. The sensitivity of real-time RT-PCR assay was 100%. 3 confirmed cases were asymptoms type, 3 confirmed cases were light type, most of them were medium type. There is a family cluster phenomenon.",2020-02-13,1153.0,26.0,41,28.1219512195122,"The Epidemiological and Clinical Characteristics of 2019 Novel Coronavirus Infection in Changsha, China",360.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537093
Given that 2019-nCoV could be controlled under the strong prevention measures of what China has taken and it will take about three months. The confirmed infected individuals will still keep quick increasing for 14 days (approximately equal to the sum of exposed period and infection period) after the start time point of control. The strong prevention measures should be insisted until the epidemic Coronavirus. Other domestic places and overseas have confirmed infected individuals should take strong interventions immediately. Earlier strong prevention measures could efficiently stop the independent self-sustaining outbreaks in other cities globally.,2020-02-13,668.0,12.0,41,16.2926829268293,Simulating the Infected Population and Spread Trend of 2019-nCov Under Different Policy by EIR Model,149.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537083
"Since January 20, 2020, the number of confirmed cases, cured cases and dead cases of novel pneumonia in Hubei Province has been increasing. However, after February 4, 2020, the number of cured cases has exceeded the number of dead cases. The case fatality rate gradually increased from January 20 to January 24, decreased on January 25, reached the peak on January 26, then gradually decreased, and finally stabilized at about 2.8. The results of correlation analysis showed that the average emigration rate in Wuhan was positively correlated with the number of confirmed cases (r=0.899, p&lt;0.001) and the number of fatalities(r=0.851, p&lt;0.001).",2020-02-13,547.0,18.0,41,13.3414634146341,Correlation Analysis of the Population Emigration Rate in Wuhan and the Trend of Novel Pneumonia in Hubei Province,154.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537086
"Countries vary widely in terms of their capacity to prevent, detect and control outbreaks, which is underpinned by global variances in the strength of health systems to manage health emergencies. Half of all countries analysed in this study currently have in place operational readiness capacities which should enable an effective response to any potential health emergencies including 2019-nCoV. However, it is crucial to integrate/triangulate findings from local risk assessments to fully understand national readiness capacities in relation to 2019-nCoV. Some countries may require external support if cases are identified and the infection spreads rapidly within their borders. As part of the commitment to the IHR (2005) countries should be implementing capacity building action to strengthen their ability to effectively prevent and manage health emergencies and the application of data analysis can support focused targeting of critical gaps that currently exist. Commitment to IHR (2005) also involves collaboration between States Parties to improve capacities for preventing and managing health emergencies which should also be carried out to improve preparedness. This will strengthen global readiness to contain existing outbreaks including the ongoing international spread of 2019-nCoV.",2020-02-13,386.0,42.0,41,9.41463414634146,Review of Health Security Capacities in Light of 2019-nCoV Outbreak – Opportunities for Strengthening IHR (2005) Implementation,70.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537089
"The imaging pattern of multifocal patchy peripheral pure ground glass opacity (GGO), mixed GGO or consolidation predominant in the lower lung, with more extensive GGO than consolidation in CT scans within the first week of illness is highly suspicious of 2019-nCoV infection during the outbreak, which may be crucial for early treatment and prompt isolation.",2020-02-11,588.0,24.0,43,13.6744186046512,"Clinical Features and Computed Tomographic Manifestations of Patients with 2019 Novel Coronavirus Pneumonia: A Single Center Study in Shanghai, China",141.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3534223&utm_source=EC&utm_medium=Connect
"All of the 9 cases had an epidemiological exposure, which defined as having either a travel/residence history in the epidemic area or direct contacts with NCIP patients. They were all in the third trimester of pregnancy. Seven patients presented fever without chill on admission. Other atypical symptoms, including cough(4/9), myalgia(3/9), sore throat(2/9) and malaise(2/9), were also observed. Complications, including gestational hypertension(1/9), severe preeclampsia(1/9), Premature rupture of membrane(PROM) (2/9), and fetal distress(2/9), were monitored. Most of the cases(5/9) had lymphopenia (&lt;1.0x109/L). Particularly, 3 cases showed abnormal liver function. One patient complicated with sever preeclampsia and influenza was characterized by elevated aminotransferase and no sign of fever before delivery. None of the cases developed severe NCIP or died as of Feb 3, 2020. A total of 9 live births were recorded. All tests on specimens from 6 of 9 patients, including amniotic fluid, cord blood, breast milk and neonatal throat swab samples showed negative results.",2020-02-11,418.0,16.0,43,9.72093023255814,Clinical Characteristics and Vertical Transmission Potential of 2019-nCoV Infection in Patients with Pregnancy,89.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3534207&utm_source=EC&utm_medium=Connect
"Patients with recent gastrointestinal symptoms as well as confirmed or suspected 2019-nCoV pneumonia exposure history are potential 2019-nCoV pneumonia candidates. It is significant to take atypical symptoms into account to avoid missed diagnosis, and important for gastroenterologists to strengthen protection to avoid possible infection.",2020-02-06,1680.0,5.0,48,35,Clinical Features of 2019 Novel Coronavirus Pneumonia Presented Gastrointestinal Symptoms But Without Fever Onset,413.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3532530&utm_source=EC&utm_medium=Connect
"The 2019-nCoV may have a higher pandemic risk than SARS broken out in 2003. The implemented public-health efforts have significantly decreased the pandemic risk of 2019-nCoV. However, more rigorous control and prevention strategies and measures to contain its further spread.",2020-02-05,3047.0,12.0,49,62.1836734693878,Transmission Dynamics of 2019 Novel Coronavirus (2019-nCoV),930.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3526307&utm_source=EC&utm_medium=Connect
"2019-nCoV may be a virus of a high infectivity. The all-out efforts from Chinese government to prevent and control the infection are effective so far, but rigorous measures should be maintained to prevent further spread of the virus.",2020-02-04,1725.0,24.0,50,34.5,Estimating the Number of 2019 Novel Coronavirus Cases in Chinese Mainland,445.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3529449
" The epidemic is in the stage of mass morbidity and rigorous screening for probable cases. Although the number of the cases have still increased in China, a series of prevention and control measures have been taken throughout China.",2020-02-04,1137.0,7.0,50,22.74,The Epidemic Dynamics of 2019 Novel Coronavirus (2019-nCoV) Infections in China by 28 January,282.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3529448
"It is essential to assess how the expensive, resource-intensive measures implemented by the Chinese authorities can contribute to the prevention and control of the 2019-nCov infection, and how long should be maintained. Under the most restrictive measures, the outbreak is expected to peak within two weeks (since January 23rd 2020) with significant low peak value. With travel restriction (no imported exposed individuals to Beijing), the number of infected individuals in 7 days will decrease by 91.14% in Beijing, compared with the scenario of no travel restriction.",2020-01-27,11182.0,26.0,58,192.793103448276,Estimation of the Transmission Risk of 2019-nCov and Its Implication for Public Health Interventions,40110.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3525558&utm_source=EC&utm_medium=Connect
"The infection of the 2019-nCoV can result in severe and even fatal respiratory disease like ARDS. It is very important to actively prevent complications and secondary infections, treat underlying diseases, and provide timely organ function support. Early diagnosis, early isolation, multiple treatment, and intervention of CRRT and ECMO when necessary can effectively reduce mortality caused by severe coronavirus pneumonia.",2020-01-27,3803.0,18.0,58,65.5689655172414,"Epidemiological and Clinical Characteristics of 99 Cases of 2019-Novel Coronavirus (2019-nCoV) Pneumonia in Wuhan, China",1069.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3523861&utm_source=EC&utm_medium=Connect
,,,,,,,,
,,,,,,,,
,,,,,28.1219512195122,,,
